TimeStamp,Sample No,X-AxisA,Y-AxisA,Z-AxisA,X-AxisG,Y-AxisG,Z-AxisG,X-AxisM,Y-AxisM,Z-AxisM,Class
135,0,0.4970703125,-0.031005859375,0.673828125,-57.78125,253.9921875,-81.421875,51.16666793823242,-18.33333396911621,-171.3333282470703,Fall
153,1,0.262939453125,0.294189453125,0.804931640625,-153.6953125,247.1875,-13.8125,50.66666793823242,-19.0,-179.3333282470703,Fall
195,2,0.143310546875,0.620361328125,0.990478515625,-94.671875,253.9921875,73.125,48.83333206176758,19.5,-188.0,Fall
243,3,0.0654296875,0.533447265625,0.754638671875,-94.6953125,249.453125,136.65625,44.83333206176758,13.5,-152.0,Fall
293,4,-0.157470703125,0.2705078125,0.515380859375,-100.640625,185.0546875,162.328125,-1.5,8.166666984558105,-157.8333282470703,Fall
346,5,-0.355712890625,0.2275390625,0.47998046875,-142.96875,107.125,168.34375,-6.5,0.3333333432674408,-159.5,Fall
390,6,-0.4755859375,0.1923828125,0.532470703125,-172.1953125,48.21875,156.5234375,-8.833333015441895,-47.83333206176758,-157.0,Fall
439,7,-0.5439453125,0.163818359375,0.589599609375,-165.1796875,4.03125,125.546875,-11.5,-51.83333206176758,-151.6666717529297,Fall
489,8,-0.546142578125,0.259765625,0.615478515625,-110.7890625,-13.3359375,98.375,-12.8333330154419,-56.33333206176758,-187.6666717529297,Fall
541,9,-0.64306640625,0.22314453125,0.7109375,-83.0625,-16.9921875,75.375,-13.16666698455811,-57.83333206176758,-184.1666717529297,Fall
586,10,-0.59521484375,0.284912109375,0.611572265625,-54.09375,-15.703125,57.28125,-10.3333330154419,-59.5,-178.8333282470703,Fall
635,11,-0.693359375,0.305908203125,0.651123046875,10.1484375,-13.0546875,39.9296875,-9.166666984558105,-61.16666793823242,-175.6666717529297,Fall
682,12,-0.624267578125,0.199951171875,0.697265625,29.7734375,-8.375,21.8828125,-8.833333015441895,-61.16666793823242,-176.8333282470703,Fall
731,13,-0.6611328125,0.0849609375,0.67529296875,32.5234375,-0.3203125,5.0390625,-7.166666507720947,-59.83333206176758,-176.0,Fall
780,14,-0.7197265625,0.194580078125,0.673828125,14.3046875,5.0390625,2.234375,-6.166666507720947,-63.66666793823242,-177.0,Fall
829,15,-0.768310546875,0.2578125,0.692626953125,154.1875,16.59375,-7.703125,-6.666666507720947,-61.5,-179.1666717529297,Fall
877,16,-0.747802734375,-0.048095703125,0.703857421875,147.6171875,13.3125,-21.4609375,-5.0,-63.0,-181.6666717529297,Fall
926,17,-0.816162109375,-0.025390625,0.66064453125,132.109375,16.0546875,-24.6328125,-5.333333492279053,-60.5,-187.5,Fall
975,18,-0.741455078125,-0.061767578125,0.687744140625,128.515625,14.453125,-26.2890625,-4.666666507720947,-61.5,-188.8333282470703,Fall
1024,19,-0.773193359375,-0.207763671875,0.655517578125,43.21875,12.171875,-28.3203125,-1.333333373069763,-59.66666793823242,-191.3333282470703,Fall
1073,20,-0.8193359375,-0.0458984375,0.638427734375,-34.6484375,3.7578125,-24.40625,-1.666666626930237,-62.16666793823242,-149.8333282470703,Fall
1121,21,-0.787353515625,-0.04541015625,0.58740234375,-40.8125,0.7578125,-17.1328125,-1.666666626930237,-60.16666793823242,-150.6666717529297,Fall
1170,22,-0.825439453125,-0.08642578125,0.58642578125,-67.359375,-3.796875,-19.8984375,-3.666666746139526,-61.66666793823242,-151.0,Fall
1219,23,-0.771240234375,0.0791015625,0.645263671875,-70.859375,0.9609375,-24.6015625,-4.666666507720947,-60.66666793823242,-192.0,Fall
