TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity
2021-04-21 10:35:45.757,0.0,-2.049,9.462,0.00
2021-04-21 10:35:46.386,0.019,-2.049,9.462,1.84
2021-04-21 10:35:46.718,0.038,-2.068,9.481,190.00
2021-04-21 10:35:47.566,0.019,-2.049,9.462,1.92
2021-04-21 10:35:48.306,0.0,-2.068,9.462,1.89
2021-04-21 10:35:48.506,0.019,-2.049,9.443,0.97
2021-04-21 10:35:49.307,-0.019,-2.068,9.462,0.00
2021-04-21 10:35:50.710,-0.019,-2.068,9.462,2.86
2021-04-21 10:35:51.305,-0.038,-2.068,9.481,0.95
2021-04-21 10:35:51.907,-0.019,-2.049,9.481,1.90s
2021-04-21 10:35:52.306,0.0,-2.068,9.481,0.97
2021-04-21 10:35:53.106,-0.019,-2.049,9.462,0.95
2021-04-21 10:35:53.305,0.0,-2.068,9.462,0.00
2021-04-21 10:35:54.905,-0.019,-2.049,9.481,0.95
2021-04-21 10:35:55.107,-0.019,-2.049,9.462,0.95
2021-04-21 10:35:57.707,-0.019,-2.068,9.462,0.95
2021-04-21 10:35:58.307,-0.038,-2.049,9.462,0.00
2021-04-21 10:35:58.506,-0.057,-2.03,9.462,1.89
2021-04-21 10:35:59.507,-0.038,-2.049,9.462,0.00
2021-04-21 10:35:59.707,-0.057,-2.068,9.462,1.92
2021-04-21 10:36:01.307,-0.057,-2.068,9.462,2.84
2021-04-21 10:36:03.107,-0.038,-2.049,9.462,0.00
2021-04-21 10:36:03.907,-0.019,-2.049,9.481,0.95
2021-04-21 10:36:06.307,-0.038,-2.049,9.481,0.95
2021-04-21 10:36:07.307,-0.057,-2.049,9.481,0.95
2021-04-21 10:36:07.707,-0.076,-2.03,9.481,0.95
2021-04-21 10:36:12.307,-0.057,-2.049,9.481,0.00
2021-04-21 10:36:12.507,-0.057,-2.03,9.481,0.00
2021-04-21 10:36:13.107,-0.057,-2.049,9.481,0.00
2021-04-21 10:36:14.105,-0.038,-2.03,9.462,0.95
2021-04-21 10:36:14.707,-0.057,-2.049,9.481,1.90
2021-04-21 10:36:15.107,-0.038,-2.03,9.481,2.86
2021-04-21 10:36:17.107,-0.038,-2.049,9.481,0.95
2021-04-21 10:36:18.709,-0.019,-2.03,9.5,2.85
2021-04-21 10:36:19.307,-0.057,-2.049,9.462,4.75
2021-04-21 10:36:19.507,-0.057,-2.049,9.462,2.85
