TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1619710843.031,9.653,-3.102,2.183,1
1619710843.04,9.711,-3.083,2.221,1
1619710843.051,9.787,-3.064,2.221,1
1619710843.061,9.807,-3.083,2.221,1
1619710843.07,9.807,-3.102,2.221,1
1619710843.081,9.826,-3.102,2.202,1
1619710843.091,9.826,-3.141,2.164,1
1619710843.1,9.883,-3.198,2.145,1
1619710843.11,9.902,-3.217,2.145,1
1619710843.12,9.921,-3.237,2.126,1
1619710843.13,9.921,-3.256,2.087,1
1619710843.14,9.921,-3.275,2.068,1
1619710843.15,9.941,-3.313,2.03,1
1619710843.16,9.902,-3.352,2.011,1
1619710843.17,9.845,-3.371,1.992,1
1619710843.18,9.845,-3.352,1.972,1
1619710843.19,9.845,-3.352,2.011,1
1619710843.2,9.826,-3.313,1.992,1
1619710843.21,9.787,-3.294,1.972,1
1619710843.22,9.787,-3.256,1.972,1
1619710843.23,9.768,-3.217,1.972,1
1619710843.239,9.768,-3.179,1.992,1
1619710843.249,9.768,-3.141,1.992,1
1619710843.26,9.768,-3.102,1.992,1
1619710843.27,9.73,-3.045,2.011,1
1619710843.28,9.73,-3.007,1.992,1
1619710843.29,9.73,-3.007,1.972,1
1619710843.3,9.711,-2.988,1.992,1
1619710843.31,9.692,-2.949,1.972,1
1619710843.32,9.615,-2.968,1.953,1
1619710843.33,9.538,-2.949,1.953,1
1619710843.341,9.519,-2.968,1.953,1
1619710843.351,9.5,-2.988,1.972,1
1619710843.36,9.538,-3.026,1.992,1
1619710843.37,9.653,-3.045,2.049,1
1619710843.38,9.692,-3.026,2.106,1
1619710843.39,9.73,-3.007,2.145,1
1619710843.401,9.845,-2.968,2.145,1
1619710843.41,9.883,-2.911,2.183,1
1619710843.42,9.921,-2.873,2.202,1
1619710843.43,9.998,-2.834,2.221,1
1619710843.441,10.094,-2.815,2.202,1
1619710843.451,10.113,-2.796,2.279,1
1619710843.462,10.17,-2.777,2.317,1
1619710843.471,10.19,-2.739,2.317,1
1619710843.484,10.19,-2.7,2.336,1
1619710843.491,10.151,-2.662,2.355,1
1619710843.501,10.132,-2.662,2.375,1
1619710843.51,10.094,-2.662,2.413,1
1619710843.523,10.075,-2.624,2.432,1
1619710843.53,10.056,-2.624,2.432,1
1619710843.539,10.036,-2.604,2.394,1
1619710843.55,9.998,-2.566,2.394,1
1619710843.56,9.941,-2.566,2.432,1
1619710843.57,9.902,-2.566,2.432,1
1619710843.581,9.902,-2.528,2.432,1
