TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620137999.135,-8.447,-4.999,1.934,1
1620137999.144,-8.312,-4.903,1.838,1
1620137999.155,-8.389,-4.788,1.857,1
1620137999.165,-7.853,-4.826,1.953,1
1620137999.177,-7.814,-4.999,2.202,1
1620137999.185,-8.006,-4.75,2.279,1
1620137999.197,-8.236,-4.865,2.394,1
1620137999.206,-8.906,-5.267,2.834,1
1620137999.214,-8.561,-4.539,2.911,1
1620137999.224,-8.255,-4.252,2.911,1
1620137999.236,-8.006,-4.137,3.026,1
1620137999.244,-7.949,-3.945,3.102,1
1620137999.255,-8.236,-4.118,3.332,1
1620137999.264,-8.542,-4.75,3.505,1
1620137999.274,-8.6,-4.482,3.696,1
1620137999.286,-8.504,-4.022,3.83,1
1620137999.295,-8.466,-4.079,3.85,1
1620137999.305,-8.753,-4.692,3.735,1
1620137999.314,-8.906,-4.941,3.601,1
1620137999.326,-9.098,-5.037,3.447,1
1620137999.335,-9.213,-4.807,3.352,1
1620137999.346,-9.021,-4.29,3.313,1
1620137999.355,-8.523,-3.869,3.486,1
1620137999.364,-8.083,-3.677,3.428,1
1620137999.375,-7.393,-3.198,3.39,1
1620137999.386,-7.048,-3.447,3.198,1
1620137999.394,-6.225,-3.045,3.658,1
1620137999.405,-6.397,-2.394,3.352,1
1620137999.414,-6.646,-4.75,2.566,1
1620137999.425,-6.186,-5.401,3.141,1
1620137999.435,-5.918,-4.367,3.045,1
1620137999.444,-5.133,-3.735,2.873,1
1620137999.456,-4.654,-3.332,2.892,1
1620137999.466,-4.52,-3.217,2.719,1
1620137999.475,-4.731,-3.505,2.758,1
1620137999.484,-4.405,-3.773,2.719,1
1620137999.495,-4.29,-4.118,2.796,1
1620137999.504,-4.807,-4.118,3.045,1
1620137999.515,-5.075,-3.39,2.968,1
1620137999.526,-4.884,-2.547,2.719,1
1620137999.535,-4.635,-2.432,2.509,1
1620137999.546,-4.06,-2.375,2.183,1
1620137999.555,-4.003,-2.47,2.528,1
1620137999.566,-3.715,-2.432,2.988,1
1620137999.575,-3.945,-2.336,3.677,1
1620137999.586,-4.156,-1.953,4.386,1
1620137999.596,-4.348,-1.379,4.597,1
1620137999.605,-4.003,-0.9,4.443,1
1620137999.616,-3.352,-0.651,4.118,1
1620137999.625,-2.777,-0.632,3.466,1
1620137999.635,-2.126,-0.44,1.953,1
1620137999.645,-1.225,0.019,1.359,1
1620137999.655,-1.168,-1.015,2.604,1
1620137999.665,-2.26,-2.585,4.769,1
1620137999.675,-2.873,-2.145,5.267,1
1620137999.685,-2.7,0.114,4.75,1
1620137999.695,-2.643,3.026,4.769,1
1620137999.704,-2.375,5.344,3.83,1
1620137999.715,-1.704,6.148,2.7,1
1620137999.724,-0.306,6.301,0.44,1
1620137999.735,2.298,5.746,-5.018,1
1620137999.745,4.079,5.956,-6.397,1
1620137999.754,6.301,6.359,-6.627,1
1620137999.764,7.91,5.65,-7.546,1
1620137999.776,7.853,3.313,-10.841,1
1620137999.785,5.803,1.589,-12.143,1
1620137999.795,1.781,2.049,-8.427,1
1620137999.805,-1.934,4.041,-4.309,1
1620137999.816,-5.439,0.555,1.934,1
1620137999.825,-2.336,-6.704,1.857,1
1620137999.836,-10.419,-26.241,6.512,1
1620137999.846,23.329,-39.208,38.902,1
1620137999.856,12.565,-37.484,17.583,1
1620137999.865,9.155,5.363,-0.153,1
1620137999.875,-1.034,30.474,-5.229,1
1620137999.886,15.016,10.554,-5.095,1
1620137999.895,6.684,-1.436,21.51,1
1620137999.905,-39.228,-13.12,39.208,1
1620137999.915,-37.427,3.984,34.573,1
1620137999.925,-5.458,35.243,2.93,1
1620137999.935,-3.754,32.236,31.451,1
1620137999.944,27.467,-4.826,39.208,1
1620137999.954,39.208,-39.208,19.537,1
1620137999.965,25.992,-36.757,-7.814,1
1620137999.975,23.291,6.761,-15.744,1
1620137999.985,14.327,34.458,-4.826,1
1620137999.995,-0.249,7.738,21.108,1
1620138000.004,1.417,-34.19,18.981,1
1620138000.02,8.849,-17.679,9.998,1
1620138000.026,6.435,7.929,2.317,1
1620138000.038,9.213,4.654,0.344,1
1620138000.044,6.704,-0.21,1.321,1
1620138000.054,0.095,-8.6,-0.019,1
1620138000.064,-4.846,-18.847,-3.658,1
1620138000.074,-4.424,-23.655,-5.305,1
1620138000.086,6.244,-22.046,-4.501,1
1620138000.095,2.298,-27.907,-3.639,1
1620138000.106,-3.964,-18.981,-12.737,1
1620138000.115,3.486,-5.593,-18.771,1
1620138000.125,4.922,-10.381,-1.896,1
1620138000.134,-6.665,-13.944,1.723,1
1620138000.145,-10.113,-6.704,1.953,1
1620138000.154,-7.719,-0.632,2.758,1
1620138000.165,-6.665,0.9,6.091,1
1620138000.175,-4.635,0.268,8.006,1
1620138000.186,-1.13,1.13,6.723,1
1620138000.195,1.053,2.547,3.007,1
1620138000.205,1.532,1.8,-0.44,1
1620138000.214,1.723,-1.57,-2.93,1
1620138000.226,1.494,-5.324,-3.639,1
1620138000.235,1.034,-6.972,-1.992,1
