TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity,Class
11:28:35.188,0.555,15.917,7.24,976.15,NotFall
11:28:35.345,5.937,-11.186,1.359,1200.09,NotFall
11:28:35.574,3.486,25.072,7.604,2384.05,NotFall
11:28:35.741,3.601,-13.906,4.711,1401.21,NotFall
11:28:36.039,0.842,4.692,6.589,2271.41,NotFall
11:28:36.118,5.439,5.995,5.114,229.27,NotFall
11:28:36.311,4.903,-7.738,2.068,861.44,NotFall
11:28:36.513,5.688,10.707,5.593,1143.47,NotFall
11:28:36.711,2.719,-5.976,5.669,950.29,NotFall
11:28:36.917,2.451,-4.922,4.309,29.44,NotFall
11:28:37.112,7.7,17.258,15.955,1963.57,NotFall
11:28:37.311,7.355,-14.767,-4.597,2646.1,NotFall
11:28:37.511,6.014,6.263,6.071,1517.85,NotFall
11:28:37.712,-0.038,-3.409,4.826,844.23,NotFall
11:28:37.912,1.589,7.24,7.872,766.1,NotFall
11:28:38.113,-1.417,10.956,9.328,108.84,NotFall
11:28:38.312,1.11,-12.335,-1.264,1567.8,NotFall
11:28:38.510,6.416,17.794,10.056,2326.12,NotFall
11:28:38.714,2.355,1.704,8.657,1077.5,NotFall
11:28:38.912,1.187,4.29,6.263,48.8,NotFall
11:28:39.112,5.535,2.681,4.692,55.89,NotFall
11:28:39.320,8.542,-14.844,-3.735,1201.31,NotFall
11:28:39.513,5.382,20.437,14.921,2538.85,NotFall
11:28:39.713,3.256,-7.489,3.754,2060.95,NotFall
11:28:39.913,3.045,19.633,11.875,1751.6,NotFall
11:28:40.113,3.256,-7.412,4.022,1734.35,NotFall
