TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity,Class
12:13:13.105,0.038,-0.804,9.653,2.86,NotFall
12:13:13.305,0.019,-0.747,9.692,3.83,NotFall
12:13:13.505,0.057,-1.225,9.73,20.2,NotFall
12:13:13.705,0.249,-1.455,9.538,10.7,NotFall
12:13:13.919,0.229,-1.206,9.557,13.33,NotFall
12:13:14.106,0.134,-1.187,9.596,1.86,NotFall
12:13:14.305,0.076,-0.996,9.577,5.7,NotFall
12:13:14.505,0.038,-0.957,9.596,1.0,NotFall
12:13:14.705,0.0,-0.842,9.615,4.78,NotFall
12:13:14.905,-0.153,-0.938,9.96,3.84,NotFall
12:13:15.155,2.317,1.647,13.982,605.13,NotFall
12:13:15.306,6.684,-7.891,-3.141,1114.7,NotFall
12:13:15.505,6.608,13.561,8.906,1679.55,NotFall
12:13:15.705,6.148,-9.289,4.079,1406.85,NotFall
12:13:15.905,5.229,9.883,6.416,1024.38,NotFall
12:13:16.105,5.42,-7.68,5.075,940.35,NotFall
12:13:16.304,6.282,6.799,6.838,850.95,NotFall
12:13:16.505,8.619,-5.727,4.233,642.91,NotFall
12:13:16.705,8.121,-2.432,4.788,166.77,NotFall
12:13:16.905,7.01,1.072,5.976,179.95,NotFall
12:13:17.105,4.328,5.803,7.968,158.47,NotFall
12:13:17.359,4.233,-0.019,6.742,492.62,NotFall
12:13:17.505,5.535,4.386,9.155,406.0,NotFall
12:13:17.705,6.263,0.593,6.723,274.85,NotFall
12:13:17.905,7.202,-6.435,3.811,447.81,NotFall
12:13:18.105,6.972,0.957,5.593,449.45,NotFall
12:13:18.305,6.799,0.478,6.818,28.65,NotFall
12:13:18.506,4.769,3.945,10.439,252.9,NotFall
12:13:18.705,6.301,-2.643,6.033,473.1,NotFall
12:13:18.905,6.454,6.627,10.285,680.35,NotFall
12:13:19.105,7.719,-6.033,3.792,898.89,NotFall
12:13:19.305,7.451,4.635,7.872,581.53,NotFall
12:13:19.553,5.535,-7.316,3.505,1207.55,NotFall
12:13:19.704,5.209,7.757,8.006,957.61,NotFall
12:13:19.905,7.336,-9.826,0.229,1161.65,NotFall
12:13:20.106,7.24,0.747,6.876,860.5,NotFall
12:13:20.305,8.198,-8.159,1.015,690.45,NotFall
12:13:20.505,4.06,14.078,9.059,1307.15,NotFall
12:13:20.706,1.072,-4.635,4.156,1330.2,NotFall
12:13:20.905,2.892,2.317,6.071,534.35,NotFall
12:13:21.105,4.826,-6.416,6.11,338.0,NotFall
12:13:21.305,3.562,-10.036,6.493,225.05,NotFall
12:13:21.505,1.743,-9.289,5.056,96.87,NotFall
12:13:21.763,1.819,-8.983,4.462,14.93,NotFall
12:13:21.905,1.647,-8.389,5.19,57.79,NotFall
12:13:22.105,2.03,-8.791,3.428,88.61,NotFall
12:13:22.305,1.666,-9.194,3.811,19.2,NotFall
12:13:22.505,1.953,-9.289,3.715,4.82,NotFall
12:13:22.705,1.972,-8.696,4.309,60.3,NotFall
12:13:22.906,1.608,-9.27,3.505,87.1,NotFall
12:13:23.105,1.608,-9.328,3.658,4.75,NotFall
