TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1619708189.73,-4.424,-8.198,3.447,0
1619708189.74,-4.348,-8.753,3.639,0
1619708189.75,-4.309,-9.213,3.85,0
1619708189.761,-3.984,-9.443,3.85,0
1619708189.77,-3.639,-9.864,4.003,0
1619708189.78,-3.581,-10.343,4.06,0
1619708189.79,-3.715,-10.132,4.271,0
1619708189.801,-3.792,-9.921,4.922,0
1619708189.81,-3.869,-9.711,5.516,0
1619708189.82,-3.984,-9.423,5.707,0
1619708189.831,-4.003,-9.443,5.573,0
1619708189.84,-4.003,-9.672,5.401,0
1619708189.85,-4.367,-9.385,5.248,0
1619708189.861,-4.386,-9.289,4.999,0
1619708189.871,-4.367,-9.366,4.884,0
1619708189.881,-4.539,-8.964,4.865,0
1619708189.891,-4.903,-8.178,4.865,0
1619708189.9,-5.305,-7.47,4.884,0
1619708189.91,-5.516,-6.78,4.96,0
1619708189.92,-5.688,-6.301,4.98,0
1619708189.93,-5.842,-5.956,4.731,0
1619708189.941,-5.861,-5.516,4.443,0
1619708189.952,-5.746,-4.922,4.328,0
1619708189.96,-5.573,-4.271,4.462,0
1619708189.97,-5.842,-4.041,5.037,0
1619708189.981,-6.378,-4.156,5.075,0
1619708189.99,-6.359,-5.707,5.133,0
1619708190.0,-6.34,-7.968,4.175,0
1619708190.01,-6.531,-8.753,3.026,0
1619708190.02,-6.531,-8.427,2.413,0
1619708190.03,-6.071,-9.251,2.892,0
1619708190.04,-6.11,-9.807,2.662,0
1619708190.05,-8.485,-10.132,3.907,0
1619708190.06,-9.96,-11.933,5.688,0
1619708190.07,-9.883,-11.607,6.933,0
1619708190.081,-10.496,-9.941,8.312,0
1619708190.091,-10.151,-9.826,8.791,0
1619708190.101,-8.504,-9.098,7.47,0
1619708190.111,-7.489,-7.431,5.65,0
1619708190.12,-6.857,-6.167,4.692,0
1619708190.13,-5.784,-5.209,4.386,0
1619708190.14,-5.152,-3.62,4.309,0
1619708190.15,-5.344,-2.317,4.29,0
1619708190.162,-5.669,-2.106,4.022,0
1619708190.171,-5.631,-2.126,3.888,0
1619708190.183,-5.19,-1.34,3.505,0
1619708190.191,-4.826,-0.134,3.026,0
1619708190.201,-3.85,0.287,1.992,0
1619708190.21,-2.777,-1.896,1.934,0
1619708190.22,-2.834,-3.237,1.532,0
1619708190.23,-3.696,-2.03,1.379,0
1619708190.24,-4.826,-0.517,2.815,0
1619708190.251,-5.114,0.0,3.984,0
