TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1619707742.021,5.593,-23.329,1.379,0
1619707742.031,4.194,-23.215,-0.459,0
1619707742.042,3.409,-19.728,-0.459,0
1619707742.051,2.547,-16.491,-1.379,0
1619707742.06,2.03,-15.936,-3.007,0
1619707742.071,2.011,-16.166,-2.7,0
1619707742.083,2.049,-15.61,-1.819,0
1619707742.091,1.781,-15.016,-1.781,0
1619707742.1,1.666,-14.193,-1.857,0
1619707742.11,1.762,-12.086,-1.589,0
1619707742.122,1.57,-9.538,-1.417,0
1619707742.13,1.091,-8.159,-1.474,0
1619707742.14,0.842,-8.102,-1.379,0
1619707742.151,1.091,-7.968,-1.494,0
1619707742.161,1.206,-7.202,-2.011,0
1619707742.171,1.015,-6.608,-2.528,0
1619707742.18,0.785,-6.454,-2.624,0
1619707742.19,0.593,-6.052,-2.681,0
1619707742.2,0.287,-5.612,-2.7,0
1619707742.21,0.306,-4.884,-2.93,0
1619707742.221,0.287,-4.137,-2.93,0
1619707742.23,-0.057,-4.156,-2.815,0
1619707742.24,-0.019,-4.194,-2.643,0
1619707742.251,0.057,-4.041,-2.336,0
1619707742.26,0.076,-3.658,-2.106,0
1619707742.271,0.057,-3.237,-2.183,0
1619707742.28,-0.268,-3.466,-1.743,0
1619707742.291,-0.574,-3.926,-0.823,0
1619707742.3,-0.076,-3.83,0.134,0
1619707742.311,0.498,-3.332,1.494,0
1619707742.32,0.689,-3.313,2.853,0
1619707742.33,1.034,-3.601,3.524,0
1619707742.34,1.436,-4.29,3.888,0
1619707742.351,1.762,-5.688,4.75,0
1619707742.36,2.317,-8.274,6.071,0
1619707742.37,3.275,-12.411,8.389,0
1619707742.38,3.064,-15.687,10.19,0
1619707742.39,2.968,-14.25,11.186,0
1619707742.4,4.252,-10.649,11.741,0
1619707742.41,4.482,-11.415,11.875,0
1619707742.42,3.85,-13.216,10.649,0
1619707742.43,3.428,-11.952,8.657,0
1619707742.44,3.237,-10.036,7.067,0
1619707742.453,2.777,-9.462,5.995,0
1619707742.46,2.26,-8.14,4.616,0
1619707742.469,2.03,-4.922,3.505,0
1619707742.479,1.992,0.344,3.754,0
1619707742.489,2.758,5.803,3.524,0
1619707742.499,3.677,4.079,3.677,0
1619707742.51,2.93,-3.102,2.47,0
1619707742.521,1.934,-7.853,1.149,0
1619707742.53,2.643,-9.749,1.34,0
1619707742.54,3.275,-10.439,-0.172,0
1619707742.55,3.945,-10.534,-1.283,0
1619707742.56,3.754,-10.132,-0.612,0
1619707742.57,3.428,-8.332,0.861,0
1619707742.58,3.102,-6.301,1.762,0
1619707742.59,2.796,-5.918,1.034,0
1619707742.602,2.566,-7.949,-2.585,0
1619707742.612,1.896,-12.756,-4.846,0
1619707742.622,1.053,-13.465,-2.758,0
1619707742.631,1.685,-5.344,-3.888,0
1619707742.64,1.494,-2.968,-3.179,0
1619707742.65,1.245,-5.803,0.019,0
1619707742.659,2.241,-6.244,1.34,0
1619707742.669,2.739,-7.029,1.857,0
1619707742.68,3.198,-9.232,2.202,0
1619707742.69,4.309,-11.856,1.532,0
1619707742.701,5.458,-14.672,0.153,0
1619707742.71,5.976,-17.832,-1.934,0
1619707742.721,6.014,-19.939,-4.654,0
1619707742.73,7.087,-19.575,-3.926,0
1619707742.74,7.336,-20.016,-1.053,0
1619707742.751,6.818,-23.827,2.03,0
1619707742.76,5.478,-26.835,1.245,0
1619707742.771,4.213,-26.739,-0.67,0
1619707742.78,3.198,-22.966,-1.053,0
1619707742.791,2.758,-18.828,-0.747,0
1619707742.8,2.068,-17.468,-2.241,0
1619707742.811,1.513,-17.794,-2.777,0
1619707742.82,1.8,-16.913,-1.743,0
1619707742.83,1.8,-15.898,-1.283,0
1619707742.841,1.417,-16.108,-1.819,0
1619707742.851,1.896,-16.07,-2.221,0
1619707742.86,2.643,-14.653,-2.509,0
1619707742.87,2.834,-12.89,-2.7,0
1619707742.881,2.796,-11.971,-2.739,0
1619707742.891,2.892,-11.243,-2.585,0
1619707742.901,2.777,-10.19,-2.719,0
1619707742.91,2.394,-9.117,-2.7,0
1619707742.92,1.953,-8.063,-2.853,0
1619707742.931,1.551,-7.316,-3.275,0
1619707742.941,1.455,-6.359,-3.217,0
1619707742.951,1.34,-5.573,-3.256,0
1619707742.96,1.187,-4.846,-3.141,0
1619707742.97,0.938,-4.367,-3.237,0
1619707742.983,0.67,-4.079,-3.39,0
1619707743.006,-0.057,-3.639,-3.792,0
1619707743.013,-0.057,-3.639,-3.792,0
1619707743.02,-0.21,-3.16,-3.466,0
1619707743.026,-0.21,-3.16,-3.466,0
1619707743.032,-0.325,-2.432,-3.294,0
1619707743.075,-0.134,-1.398,-3.179,0
1619707743.083,0.095,-0.823,-2.566,0
1619707743.091,0.038,-1.647,-1.264,0
1619707743.098,0.038,-2.7,0.727,0
1619707743.102,0.574,-2.011,2.47,0
1619707743.107,1.34,-0.268,3.677,0
1619707743.113,1.187,-0.095,4.788,0
1619707743.119,0.842,-2.26,5.037,0
1619707743.123,1.436,-4.884,4.98,0
1619707743.13,1.992,-6.857,5.746,0
1619707743.142,2.375,-7.891,6.589,0
1619707743.15,2.547,-8.619,7.91,0
1619707743.159,2.796,-8.945,9.653,0
1619707743.169,3.466,-9.174,10.573,0
1619707743.179,4.788,-12.699,11.645,0
1619707743.189,4.673,-9.5,14.193,0
1619707743.199,4.673,-9.5,14.193,0
1619707743.209,3.332,-7.872,-0.287,0
1619707743.22,2.451,-16.338,0.325,0
1619707743.229,3.217,-18.943,1.896,0
1619707743.239,4.29,-14.346,2.662,0
1619707743.251,2.317,-9.902,2.758,0
1619707743.26,0.555,-8.504,2.011,0
1619707743.27,0.421,-7.795,1.072,0
1619707743.28,0.363,-6.914,0.593,0
1619707743.29,0.114,-6.301,-0.44,0
1619707743.3,-0.268,-5.899,-0.172,0
1619707743.31,-0.402,-5.018,-1.091,0
1619707743.32,-0.095,-7.719,0.249,0
1619707743.332,0.536,-10.151,2.566,0
1619707743.34,1.953,-11.013,1.494,0
1619707743.35,2.011,-13.331,1.11,0
1619707743.36,1.532,-15.151,1.838,0
1619707743.37,1.838,-13.886,3.179,0
1619707743.38,1.762,-9.73,4.041,0
1619707743.39,0.823,-9.998,0.019,0
1619707743.401,-0.306,-15.208,2.049,0
1619707743.41,-0.038,-12.124,2.719,0
1619707743.42,2.126,-8.006,-0.517,0
1619707743.431,2.221,-10.726,-0.076,0
1619707743.441,2.279,-10.458,0.555,0
1619707743.451,2.662,-8.542,1.225,0
1619707743.46,2.815,-7.968,2.126,0
1619707743.474,3.332,-7.565,3.313,0
1619707743.481,3.85,-7.585,3.754,0
1619707743.491,3.926,-7.125,3.754,0
1619707743.5,4.022,-6.301,3.524,0
1619707743.512,4.233,-5.612,3.926,0
1619707743.52,4.462,-5.612,2.585,0
1619707743.531,4.309,-7.182,1.283,0
1619707743.54,3.83,-7.642,0.191,0
1619707743.55,3.792,-7.623,-0.689,0
1619707743.562,3.658,-7.565,-0.172,0
1619707743.572,3.639,-6.838,-0.651,0
1619707743.58,3.313,-7.508,-0.651,0
1619707743.589,2.317,-9.308,-0.747,0
1619707743.613,1.589,-10.688,-0.957,0
1619707743.626,1.206,-11.224,-1.321,0
1619707743.633,1.455,-11.339,-2.241,0
1619707743.64,3.102,-11.55,-3.677,0
1619707743.646,4.635,-11.779,-4.405,0
1619707743.652,5.267,-13.714,-2.949,0
1619707743.659,4.731,-19.384,-1.11,0
1619707743.669,5.114,-26.49,-0.421,0
1619707743.678,6.435,-30.187,-0.383,0
1619707743.689,5.554,-26.93,-1.379,0
1619707743.699,2.624,-21.701,-2.585,0
1619707743.709,1.245,-18.962,-2.968,0
1619707743.719,1.11,-17.43,-2.873,0
1619707743.729,0.747,-16.836,-2.739,0
1619707743.74,0.153,-16.932,-2.26,0
1619707743.749,-0.057,-16.549,-1.436,0
1619707743.759,0.268,-15.151,-1.13,0
1619707743.769,0.689,-13.637,-1.321,0
1619707743.779,1.13,-12.603,-1.513,0
1619707743.789,1.532,-11.588,-1.877,0
1619707743.798,1.666,-10.381,-1.972,0
1619707743.809,1.57,-9.174,-1.953,0
1619707743.821,1.436,-8.044,-1.934,0
1619707743.829,1.149,-7.297,-1.857,0
1619707743.84,0.996,-6.665,-2.03,0
1619707743.849,0.976,-5.803,-2.49,0
1619707743.86,0.919,-4.941,-3.045,0
1619707743.87,0.881,-4.194,-3.256,0
1619707743.88,0.708,-3.83,-3.409,0
