TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1619706883.641,1.34,1.245,9.826,0
1619706883.651,1.359,1.264,9.768,0
1619706883.66,1.34,1.225,9.768,0
1619706883.67,1.359,1.187,9.749,0
1619706883.681,1.359,1.206,9.73,0
1619706883.69,1.379,1.264,9.749,0
1619706883.7,1.398,1.264,9.768,0
1619706883.711,1.398,1.245,9.787,0
1619706883.72,1.379,1.225,9.826,0
1619706883.731,1.379,1.264,9.826,0
1619706883.74,1.379,1.283,9.807,0
1619706883.752,1.321,1.302,9.787,0
1619706883.76,1.34,1.302,9.787,0
1619706883.772,1.34,1.283,9.787,0
1619706883.781,1.302,1.283,9.787,0
1619706883.792,1.321,1.283,9.787,0
1619706883.801,1.359,1.187,9.807,0
1619706883.812,1.379,1.149,9.864,0
1619706883.82,1.359,1.187,9.883,0
1619706883.831,1.321,1.187,9.883,0
1619706883.84,1.34,1.187,9.845,0
1619706883.85,1.359,1.225,9.826,0
1619706883.86,1.321,1.245,9.826,0
1619706883.87,1.302,1.206,9.807,0
1619706883.88,1.302,1.225,9.787,0
1619706883.89,1.34,1.245,9.787,0
1619706883.9,1.359,1.283,9.787,0
1619706883.911,1.359,1.302,9.807,0
1619706883.922,1.398,1.283,9.807,0
1619706883.929,1.417,1.225,9.845,0
1619706883.938,1.359,1.206,9.864,0
1619706883.95,1.302,1.283,9.826,0
1619706883.96,1.321,1.321,9.787,0
1619706883.969,1.359,1.321,9.768,0
1619706883.979,1.321,1.283,9.807,0
1619706883.99,1.283,1.264,9.845,0
1619706884.0,1.264,1.264,9.845,0
1619706884.01,1.321,1.245,9.826,0
1619706884.02,1.34,1.264,9.845,0
1619706884.03,1.34,1.245,9.864,0
1619706884.04,1.321,1.225,9.864,0
1619706884.051,1.321,1.206,9.845,0
1619706884.062,1.34,1.264,9.826,0
1619706884.07,1.359,1.264,9.845,0
1619706884.08,1.321,1.245,9.826,0
1619706884.091,1.283,1.264,9.845,0
1619706884.1,1.302,1.302,9.845,0
1619706884.11,1.34,1.245,9.826,0
1619706884.12,1.359,1.245,9.826,0
1619706884.13,1.34,1.245,9.845,0
1619706884.14,1.359,1.225,9.826,0
1619706884.15,1.379,1.225,9.845,0
1619706884.161,1.34,1.283,9.845,0
1619706884.17,1.321,1.283,9.826,0
1619706884.18,1.321,1.245,9.807,0
1619706884.191,1.34,1.283,9.787,0
1619706884.2,1.34,1.321,9.787,0
1619706884.211,1.379,1.34,9.787,0
1619706884.221,1.398,1.264,9.845,0
1619706884.231,1.359,1.225,9.883,0
1619706884.24,1.34,1.321,9.883,0
1619706884.251,1.379,1.417,9.845,0
1619706884.261,1.398,1.494,9.768,0
1619706884.271,1.379,1.532,9.73,0
1619706884.281,1.398,1.551,9.807,0
1619706884.291,1.379,1.417,9.941,0
1619706884.3,1.283,1.321,9.998,0
1619706884.31,1.225,1.398,9.921,0
1619706884.322,1.302,1.379,9.883,0
1619706884.331,1.321,1.379,9.845,0
1619706884.341,1.321,1.34,9.883,0
1619706884.35,1.321,1.225,9.883,0
1619706884.36,1.302,1.149,9.864,0
1619706884.371,1.321,1.168,9.864,0
1619706884.38,1.379,1.11,9.826,0
1619706884.391,1.321,1.072,9.787,0
1619706884.401,1.245,1.091,9.807,0
1619706884.411,1.225,1.091,9.787,0
1619706884.42,1.245,1.091,9.787,0
1619706884.43,1.283,1.072,9.749,0
1619706884.443,1.302,1.072,9.73,0
1619706884.451,1.321,1.072,9.749,0
1619706884.46,1.359,1.034,9.73,0
1619706884.471,1.34,1.11,9.692,0
1619706884.481,1.34,1.11,9.692,0
1619706884.49,1.34,1.168,9.711,0
1619706884.5,1.34,1.225,9.692,0
1619706884.51,1.321,1.245,9.749,0
1619706884.52,1.321,1.264,9.826,0
1619706884.53,1.302,1.245,9.826,0
1619706884.54,1.321,1.283,9.807,0
1619706884.551,1.398,1.34,9.768,0
1619706884.56,1.436,1.379,9.787,0
1619706884.57,1.417,1.474,9.807,0
1619706884.581,1.398,1.57,9.807,0
1619706884.591,1.436,1.704,9.807,0
1619706884.6,1.474,1.896,9.787,0
1619706884.61,1.494,2.011,9.749,0
1619706884.621,1.513,2.087,9.672,0
1619706884.631,1.57,2.145,9.538,0
1619706884.642,1.666,2.26,9.366,0
1619706884.651,1.762,2.413,9.155,0
1619706884.661,1.934,2.547,8.83,0
1619706884.67,2.145,2.566,8.523,0
1619706884.68,2.145,2.164,8.715,0
1619706884.692,1.762,0.996,9.289,0
1619706884.701,1.34,-0.517,9.423,0
1619706884.711,1.666,-2.068,9.002,0
1619706884.72,2.145,-4.099,8.638,0
1619706884.73,2.049,-6.608,8.753,0
1619706884.741,1.532,-9.845,9.404,0
1619706884.75,0.785,-14.269,10.458,0
1619706884.76,-0.344,-17.756,11.588,0
1619706884.771,-1.838,-18.062,12.22,0
1619706884.78,-3.62,-15.955,12.89,0
1619706884.79,-5.363,-13.906,13.024,0
1619706884.802,-6.34,-11.607,11.588,0
1619706884.811,-6.301,-8.734,9.826,0
1619706884.821,-6.033,-4.826,8.887,0
1619706884.831,-5.842,-0.21,8.772,0
1619706884.84,-5.918,3.237,9.079,0
1619706884.851,-6.129,5.133,8.925,0
1619706884.863,-6.11,6.416,8.063,0
1619706884.872,-6.244,8.025,7.048,0
1619706884.882,-6.627,11.147,6.627,0
1619706884.89,-6.972,16.798,6.474,0
1619706884.901,-7.24,23.138,5.899,0
1619706884.91,-7.087,30.129,4.462,0
1619706884.921,-6.071,37.159,2.777,0
1619706884.93,-3.677,39.228,2.221,0
1619706884.94,1.13,35.952,-1.34,0
1619706884.951,2.988,28.769,-2.451,0
1619706884.961,-2.394,29.823,3.639,0
1619706884.971,-7.278,33.271,8.466,0
1619706884.98,-9.557,29.88,10.036,0
1619706884.99,-8.945,21.318,10.879,0
1619706885.0,-7.987,14.653,9.807,0
1619706885.011,-7.451,9.921,6.531,0
1619706885.02,-7.872,4.999,5.439,0
1619706885.03,-8.083,-1.359,6.78,0
1619706885.04,-9.308,-9.979,8.868,0
1619706885.05,-13.159,-20.552,13.369,0
1619706885.06,-18.445,-27.314,18.464,0
1619706885.07,-26.432,-29.076,19.173,0
1619706885.08,-32.907,-36.699,18.407,0
1619706885.094,-34.094,-39.208,17.277,0
1619706885.104,-22.238,-39.189,12.852,0
1619706885.11,-11.32,-37.312,11.779,0
1619706885.12,-7.585,-26.203,12.775,0
1619706885.129,-7.91,-16.472,12.354,0
1619706885.14,-8.485,-10.764,9.615,0
1619706885.15,-9.289,-6.091,7.106,0
1619706885.161,-9.826,-2.26,5.095,0
1619706885.17,-9.596,2.011,3.792,0
1619706885.18,-9.423,7.087,2.643,0
1619706885.19,-9.596,11.952,0.517,0
1619706885.2,-8.485,17.526,-3.179,0
1619706885.21,-6.359,25.321,-6.263,0
1619706885.221,-4.501,32.332,-5.688,0
1619706885.23,-1.57,38.117,-4.386,0
1619706885.24,-0.536,39.228,-3.332,0
1619706885.25,-3.524,39.208,1.608,0
1619706885.261,-4.731,39.208,6.033,0
1619706885.274,-5.937,38.921,8.063,0
1619706885.283,-4.711,34.937,10.056,0
1619706885.291,-5.401,28.635,11.166,0
1619706885.3,-5.822,21.835,8.676,0
1619706885.311,-5.976,14.174,4.769,0
1619706885.32,-6.378,8.849,1.359,0
1619706885.33,-6.282,4.577,-1.896,0
1619706885.34,-5.516,1.245,-3.677,0
1619706885.35,-4.846,-3.39,-2.93,0
1619706885.361,-6.416,-12.028,1.34,0
1619706885.371,-9.807,-22.218,10.381,0
1619706885.382,-14.863,-28.233,19.135,0
1619706885.39,-24.364,-34.784,27.735,0
1619706885.401,-29.095,-39.208,26.509,0
1619706885.411,-22.353,-39.208,18.119,0
1619706885.421,-15.361,-38.998,14.442,0
1619706885.43,-10.726,-33.271,14.231,0
1619706885.44,-8.868,-22.218,14.825,0
1619706885.451,-9.672,-14.346,12.718,0
1619706885.46,-10.496,-7.949,9.73,0
1619706885.471,-10.764,-1.685,7.489,0
1619706885.48,-11.396,4.635,5.535,0
1619706885.49,-11.569,10.477,3.792,0
1619706885.501,-9.807,12.699,0.363,0
1619706885.511,-8.561,15.112,-3.85,0
1619706885.521,-9.289,26.356,-6.129,0
1619706885.531,-10.19,39.228,-6.435,0
1619706885.541,-9.462,39.228,-2.758,0
1619706885.55,-3.524,39.036,1.187,0
1619706885.56,-1.896,39.208,2.26,0
1619706885.571,-2.26,39.113,3.409,0
1619706885.58,-3.083,34.228,4.405,0
1619706885.59,-5.305,29.191,6.225,0
1619706885.6,-6.052,27.314,6.071,0
1619706885.61,-6.11,21.931,4.213,0
1619706885.62,-7.929,15.036,2.394,0
1619706885.631,-9.634,9.979,3.543,0
1619706885.64,-11.435,5.056,5.976,0
1619706885.65,-14.04,-0.612,4.577,0
1619706885.661,-16.185,-9.289,3.39,0
1619706885.67,-17.028,-25.187,10.554,0
1619706885.68,-21.912,-39.208,23.138,0
1619706885.69,-29.363,-39.208,24.325,0
1619706885.7,-22.755,-38.94,15.668,0
1619706885.71,-12.182,-39.208,12.737,0
1619706885.72,-7.987,-35.607,10.515,0
1619706885.731,-6.091,-25.609,8.849,0
1619706885.74,-6.186,-17.545,8.849,0
1619706885.75,-6.704,-11.262,8.063,0
1619706885.761,-8.236,-5.382,7.278,0
1619706885.772,-9.826,-0.076,6.014,0
1619706885.782,-10.783,4.75,5.267,0
1619706885.791,-10.994,8.638,4.52,0
1619706885.801,-9.787,10.075,1.953,0
1619706885.812,-8.791,11.684,0.019,0
1619706885.82,-9.328,21.452,-1.972,0
1619706885.83,-9.079,35.607,-4.06,0
1619706885.841,-7.316,39.228,-2.413,0
1619706885.85,-2.528,39.228,-0.057,0
1619706885.86,0.593,39.132,0.957,0
1619706885.871,1.398,39.036,3.62,0
1619706885.88,-0.114,34.228,5.382,0
1619706885.89,-2.585,30.685,7.719,0
1619706885.901,-4.711,30.608,9.079,0
1619706885.91,-4.731,26.088,6.723,0
1619706885.92,-4.941,18.809,5.382,0
1619706885.931,-5.612,13.771,2.662,0
1619706885.94,-5.554,11.032,-0.172,0
1619706885.951,-6.55,7.489,-1.532,0
1619706885.961,-9.251,-0.153,0.402,0
1619706885.971,-13.12,-14.308,9.385,0
1619706885.981,-18.503,-35.397,21.95,0
1619706885.991,-26.298,-39.208,28.329,0
1619706886.0,-24.076,-39.055,20.035,0
1619706886.01,-14.48,-39.093,14.25,0
1619706886.021,-11.684,-36.795,9.711,0
1619706886.034,-6.589,-26.049,9.596,0
1619706886.042,-6.589,-26.049,9.596,0
1619706886.051,-6.684,-18.196,9.519,0
1619706886.06,-7.508,-9.098,7.623,0
1619706886.07,-9.213,-2.968,6.569,0
1619706886.081,-10.803,1.091,5.669,0
1619706886.09,-11.971,5.42,4.29,0
1619706886.101,-12.622,9.615,3.62,0
1619706886.11,-12.45,14.518,2.355,0
1619706886.121,-11.779,20.686,-0.727,0
1619706886.132,-10.266,27.812,-2.643,0
1619706886.141,-8.791,36.086,-2.145,0
1619706886.15,-6.684,39.228,-0.459,0
1619706886.16,-1.953,39.228,0.555,0
1619706886.171,0.555,39.151,1.896,0
1619706886.18,0.823,38.174,4.635,0
1619706886.19,-0.938,34.171,6.914,0
1619706886.2,-3.39,29.976,8.121,0
1619706886.21,-3.332,25.858,6.742,0
1619706886.22,-4.156,19.843,5.995,0
1619706886.23,-5.516,14.748,4.826,0
1619706886.24,-5.803,12.316,2.317,0
1619706886.25,-6.378,10.362,0.344,0
1619706886.26,-7.929,6.493,0.114,0
1619706886.27,-10.611,-0.919,2.911,0
1619706886.28,-13.867,-13.982,7.623,0
1619706886.29,-17.143,-33.998,15.38,0
1619706886.304,-22.87,-39.208,22.199,0
1619706886.31,-20.054,-39.151,17.736,0
1619706886.323,-12.258,-38.021,13.791,0
1619706886.329,-10.879,-31.432,9.136,0
1619706886.339,-9.213,-27.754,7.24,0
1619706886.349,-7.048,-26.183,9.5,0
1619706886.36,-7.316,-20.169,9.557,0
1619706886.37,-9.251,-11.645,8.734,0
1619706886.38,-10.86,-4.482,8.466,0
1619706886.39,-11.99,1.589,7.585,0
1619706886.4,-12.852,7.565,6.646,0
1619706886.415,-11.818,16.357,3.16,0
1619706886.422,-11.818,16.357,3.16,0
1619706886.431,-10.228,22.123,-0.229,0
1619706886.442,-8.504,30.206,-1.992,0
1619706886.454,-7.144,38.251,-1.053,0
1619706886.461,-5.324,39.228,1.417,0
1619706886.47,-2.624,39.17,3.352,0
1619706886.48,-0.421,39.208,4.826,0
1619706886.49,0.612,39.228,6.838,0
1619706886.5,0.095,36.929,8.504,0
1619706886.511,-2.624,30.148,8.983,0
1619706886.521,-4.06,23.789,7.7,0
1619706886.531,-5.056,17.679,5.937,0
1619706886.54,-5.956,13.063,3.217,0
1619706886.55,-5.842,9.634,0.785,0
1619706886.561,-5.937,5.842,-0.823,0
1619706886.57,-6.589,1.015,-0.957,0
1619706886.58,-7.872,-6.742,5.401,0
1619706886.592,-10.439,-20.303,14.001,0
1619706886.601,-14.097,-36.814,20.284,0
1619706886.611,-19.001,-39.208,22.525,0
1619706886.621,-18.847,-38.959,17.258,0
1619706886.63,-14.001,-36.105,11.128,0
1619706886.64,-11.396,-34.075,9.347,0
1619706886.651,-8.753,-33.385,10.496,0
1619706886.66,-7.623,-27.237,11.147,0
1619706886.67,-8.696,-16.702,10.649,0
1619706886.681,-9.864,-7.968,9.328,0
1619706886.69,-10.63,-2.49,8.025,0
1619706886.7,-11.454,1.513,7.202,0
1619706886.71,-12.258,6.129,5.42,0
1619706886.721,-12.507,11.224,3.486,0
1619706886.73,-11.435,16.108,0.268,0
1619706886.74,-9.787,22.353,-2.624,0
1619706886.751,-8.466,30.78,-3.371,0
1619706886.762,-7.087,37.082,-2.719,0
1619706886.773,-4.424,39.228,-0.9,0
1619706886.781,-1.838,39.228,1.857,0
1619706886.79,-1.13,38.615,4.941,0
1619706886.802,-0.229,35.454,7.316,0
1619706886.812,-0.114,32.658,8.485,0
1619706886.821,-1.513,30.761,8.121,0
1619706886.831,-2.949,26.528,7.604,0
1619706886.84,-5.171,20.284,6.397,0
1619706886.849,-5.65,16.166,2.892,0
1619706886.86,-5.707,13.925,0.44,0
1619706886.869,-7.604,10.036,1.934,0
1619706886.879,-10.879,2.49,4.903,0
1619706886.889,-14.384,-11.492,6.761,0
1619706886.899,-16.261,-33.06,11.837,0
1619706886.909,-18.158,-39.208,20.169,0
1619706886.92,-12.699,-34.918,13.293,0
1619706886.93,-12.699,-34.918,13.293,0
1619706886.94,-10.879,-29.689,7.834,0
1619706886.95,-8.868,-32.887,7.795,0
1619706886.96,-6.033,-32.294,9.883,0
1619706886.972,-7.278,-23.502,10.343,0
1619706886.98,-11.99,-5.956,10.668,0
1619706886.99,-13.044,-0.076,9.577,0
1619706887.002,-13.657,5.267,7.853,0
1619706887.011,-13.101,10.726,5.478,0
1619706887.021,-11.645,16.07,2.739,0
1619706887.031,-10.113,24.479,-0.689,0
1619706887.041,-9.059,34.803,-1.781,0
1619706887.05,-7.661,39.228,-0.823,0
1619706887.06,-5.133,39.228,0.957,0
1619706887.071,-2.011,39.151,2.949,0
1619706887.08,-1.13,39.228,4.731,0
1619706887.092,-0.191,38.653,6.225,0
1619706887.101,0.766,34.86,6.627,0
1619706887.111,-0.651,29.382,6.033,0
1619706887.12,-2.604,23.962,4.999,0
1619706887.131,-4.558,18.522,3.428,0
1619706887.141,-5.707,14.308,1.723,0
1619706887.151,-5.573,11.492,0.287,0
1619706887.161,-5.382,8.753,1.091,0
1619706887.172,-6.359,4.616,2.853,0
1619706887.181,-8.14,-3.39,3.754,0
1619706887.191,-10.439,-16.664,9.807,0
1619706887.201,-14.499,-34.477,18.828,0
1619706887.211,-19.518,-39.208,21.395,0
1619706887.221,-21.835,-39.189,17.315,0
1619706887.23,-16.76,-38.998,15.38,0
1619706887.24,-12.737,-37.216,14.04,0
1619706887.251,-10.113,-32.16,10.841,0
1619706887.26,-8.696,-24.651,9.845,0
1619706887.27,-9.079,-17.047,11.722,0
1619706887.281,-10.17,-9.941,11.415,0
1619706887.291,-11.301,-3.754,9.787,0
1619706887.301,-12.22,1.398,7.834,0
1619706887.31,-12.795,6.282,6.033,0
1619706887.321,-12.756,10.707,5.19,0
1619706887.33,-12.392,15.361,3.945,0
1619706887.341,-11.588,21.433,1.264,0
1619706887.35,-10.017,27.697,0.306,0
1619706887.36,-8.236,32.083,0.612,0
1619706887.373,-6.359,35.014,0.383,0
1619706887.381,-3.256,38.557,1.57,0
1619706887.39,-0.651,39.228,3.773,0
1619706887.4,-1.57,39.017,5.65,0
1619706887.409,-2.681,35.761,6.416,0
1619706887.42,-4.424,30.608,7.221,0
1619706887.43,-5.133,26.49,7.029,0
1619706887.44,-5.114,21.491,6.186,0
1619706887.45,-5.573,16.319,5.286,0
1619706887.46,-5.248,13.408,2.739,0
1619706887.47,-5.075,11.818,0.612,0
1619706887.481,-6.531,9.04,1.398,0
1619706887.495,-9.059,3.543,1.781,0
1619706887.506,-11.147,-5.612,4.424,0
1619706887.512,-12.871,-21.912,11.684,0
1619706887.523,-14.844,-39.208,21.031,0
1619706887.529,-18.062,-39.208,20.399,0
1619706887.539,-18.483,-35.454,10.783,0
1619706887.55,-14.997,-35.856,10.917,0
1619706887.56,-11.473,-39.208,15.553,0
1619706887.57,-8.734,-36.891,12.258,0
1619706887.581,-8.504,-24.115,9.634,0
1619706887.59,-8.849,-13.35,10.285,0
1619706887.606,-9.653,-8.657,10.707,0
1619706887.615,-11.281,-5.018,10.17,0
1619706887.621,-12.603,0.536,8.236,0
1619706887.631,-13.35,7.412,6.282,0
1619706887.64,-12.603,12.239,4.75,0
1619706887.65,-10.707,14.882,3.984,0
1619706887.66,-10.036,22.257,1.666,0
1619706887.67,-9.864,30.991,0.823,0
1619706887.681,-8.945,34.535,2.049,0
1619706887.69,-6.129,37.044,3.352,0
1619706887.7,-2.585,39.228,3.792,0
1619706887.71,-1.551,39.228,3.888,0
1619706887.72,0.095,39.151,5.305,0
1619706887.73,0.612,36.125,7.604,0
1619706887.74,-0.555,28.597,8.791,0
1619706887.75,-3.141,21.701,8.293,0
1619706887.76,-3.792,16.874,6.55,0
1619706887.77,-4.922,13.005,5.171,0
1619706887.781,-5.075,10.764,1.934,0
1619706887.79,-4.405,9.194,-1.13,0
1619706887.8,-4.922,6.531,-1.168,0
1619706887.811,-7.336,0.593,2.815,0
1619706887.821,-11.224,-10.841,9.27,0
1619706887.83,-15.725,-30.053,19.499,0
1619706887.84,-19.614,-39.208,29.191,0
1619706887.851,-21.51,-39.208,22.429,0
1619706887.861,-18.368,-38.595,12.622,0
1619706887.871,-14.461,-38.864,11.894,0
1619706887.881,-10.63,-39.113,13.599,0
1619706887.89,-7.834,-32.964,13.312,0
1619706887.9,-8.121,-19.92,13.58,0
1619706887.911,-8.868,-10.726,12.603,0
1619706887.921,-10.056,-7.738,10.592,0
1619706887.931,-11.435,-5.765,8.983,0
1619706887.94,-13.063,-0.593,6.359,0
1619706887.95,-14.825,7.182,3.275,0
1619706887.961,-13.81,15.093,1.072,0
1619706887.97,-11.147,24.076,-1.877,0
1619706887.98,-9.979,34.956,-3.026,0
1619706887.991,-8.37,39.228,-2.432,0
1619706888.001,-4.884,39.228,-1.666,0
1619706888.011,-3.792,39.132,1.091,0
1619706888.021,-3.505,39.228,3.352,0
1619706888.03,-1.053,39.228,4.443,0
1619706888.043,0.785,38.174,6.972,0
1619706888.051,-1.723,32.753,8.542,0
1619706888.061,-5.286,25.724,8.293,0
1619706888.07,-5.88,20.322,3.83,0
1619706888.081,-6.091,14.767,1.13,0
1619706888.092,-7.355,10.419,-1.015,0
