TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1619707310.991,3.007,-21.261,5.324,0
1619707311.0,5.095,-13.829,6.608,0
1619707311.01,5.88,-9.27,6.205,0
1619707311.021,7.163,-4.654,6.11,0
1619707311.032,9.385,1.685,6.857,0
1619707311.041,11.435,9.615,7.048,0
1619707311.05,12.795,20.322,6.742,0
1619707311.061,12.641,31.125,6.091,0
1619707311.071,8.542,31.336,4.52,0
1619707311.082,4.175,25.36,0.689,0
1619707311.091,6.972,27.505,0.134,0
1619707311.101,6.282,39.228,3.064,0
1619707311.111,-1.896,39.228,7.087,0
1619707311.121,-1.053,37.044,4.769,0
1619707311.131,3.179,26.816,3.524,0
1619707311.14,4.079,17.966,5.056,0
1619707311.15,3.926,13.637,6.205,0
1619707311.16,4.137,9.73,7.546,0
1619707311.17,5.727,4.52,10.745,0
1619707311.211,8.849,-3.045,12.392,0
1619707311.22,18.368,-17.162,15.361,0
1619707311.228,18.368,-17.162,15.361,0
1619707311.234,18.368,-17.162,15.361,0
1619707311.241,18.368,-17.162,15.361,0
1619707311.247,14.02,-31.24,23.176,0
1619707311.254,9.289,-39.208,12.392,0
1619707311.261,9.136,-37.504,2.873,0
1619707311.269,6.033,-23.464,4.328,0
1619707311.278,3.39,-11.492,8.657,0
1619707311.283,4.041,-6.665,8.447,0
1619707311.292,5.727,-4.233,7.106,0
1619707311.3,7.451,-1.264,6.608,0
1619707311.311,8.791,5.133,6.435,0
1619707311.32,9.653,14.672,3.869,0
1619707311.33,9.615,22.831,-4.482,0
1619707311.34,6.091,20.092,-8.619,0
1619707311.351,10.841,29.842,-7.297,0
1619707311.36,9.653,39.228,0.402,0
1619707311.37,-1.379,39.228,9.443,0
1619707311.38,-0.229,37.197,6.34,0
1619707311.39,3.275,27.314,6.397,0
1619707311.4,3.275,19.633,9.289,0
1619707311.41,2.988,16.089,12.297,0
1619707311.42,4.826,13.906,13.522,0
1619707311.43,6.933,11.492,9.672,0
1619707311.441,10.879,6.397,5.19,0
1619707311.451,17.411,-0.555,0.134,0
1619707311.464,22.525,-14.308,0.938,0
1619707311.469,23.119,-37.446,-2.93,0
1619707311.479,14.327,-39.208,-3.562,0
1619707311.489,7.106,-38.902,-6.071,0
1619707311.499,4.673,-37.389,-9.155,0
1619707311.51,4.424,-32.677,-6.704,0
1619707311.52,5.727,-23.789,-4.156,0
1619707311.53,6.761,-11.032,0.555,0
1619707311.54,6.684,-3.026,3.984,0
1619707311.55,7.642,0.076,5.439,0
1619707311.56,8.389,1.34,8.063,0
1619707311.57,9.308,2.279,10.17,0
1619707311.581,10.86,4.711,9.998,0
1619707311.591,12.048,8.523,7.968,0
1619707311.603,14.787,16.568,5.842,0
1619707311.611,11.875,23.904,4.501,0
1619707311.621,6.953,29.497,2.202,0
1619707311.633,5.382,38.902,1.915,0
1619707311.641,1.11,39.228,4.482,0
1619707311.65,1.015,39.074,4.213,0
1619707311.66,4.233,34.267,2.145,0
1619707311.671,4.884,22.716,3.428,0
1619707311.68,5.171,15.016,6.263,0
1619707311.691,5.497,12.067,7.642,0
1619707311.7,5.861,9.557,9.347,0
1619707311.71,6.704,5.248,11.358,0
1619707311.721,9.481,0.306,10.573,0
1619707311.73,8.715,-11.186,10.017,0
1619707311.74,9.098,-28.367,7.163,0
1619707311.751,13.139,-32.543,3.984,0
1619707311.76,15.706,-32.504,-3.984,0
1619707311.77,12.316,-39.208,1.972,0
1619707311.78,7.182,-39.208,4.424,0
1619707311.79,6.876,-26.547,5.765,0
1619707311.8,2.585,-8.906,11.971,0
1619707311.811,1.57,-4.156,12.297,0
1619707311.82,4.118,-6.244,11.262,0
1619707311.831,6.991,-6.665,8.466,0
1619707311.84,10.86,-1.628,4.501,0
1619707311.851,13.771,6.704,3.639,0
1619707311.861,14.327,15.074,4.482,0
1619707311.872,13.197,20.361,5.458,0
1619707311.881,10.343,22.333,3.715,0
1619707311.89,7.987,21.625,-1.398,0
1619707311.9,7.202,25.149,-3.16,0
1619707311.91,8.198,37.982,-4.539,0
1619707311.921,2.336,39.228,-0.976,0
1619707311.93,-0.076,37.753,-0.344,0
1619707311.94,2.528,29.516,-0.996,0
1619707311.951,3.754,22.333,1.685,0
1619707311.961,4.099,18.081,4.501,0
1619707311.971,5.65,14.404,6.11,0
1619707311.98,6.359,11.473,6.225,0
1619707311.991,5.899,9.251,7.814,0
1619707312.001,4.003,8.868,9.577,0
1619707312.011,5.631,11.454,6.742,0
1619707312.02,11.645,10.094,4.041,0
1619707312.031,19.211,4.654,-9.366,0
1619707312.041,19.192,-4.635,-31.719,0
1619707312.052,11.358,-18.675,-39.228,0
1619707312.063,2.068,-28.731,-36.872,0
1619707312.071,3.083,-27.582,-38.442,0
1619707312.081,2.011,-27.831,-33.309,0
1619707312.09,4.213,-14.557,-30.551,0
1619707312.1,6.569,-6.55,-27.314,0
1619707312.111,6.665,-3.811,-15.878,0
1619707312.12,4.865,-5.593,-3.198,0
1619707312.13,4.539,-7.221,3.275,0
1619707312.14,4.079,-7.316,5.535,0
1619707312.15,3.83,-8.389,4.424,0
1619707312.16,6.129,-8.408,4.731,0
1619707312.17,7.412,-8.983,10.439,0
1619707312.18,7.661,-11.779,14.499,0
1619707312.19,11.779,-5.171,6.838,0
1619707312.2,17.334,26.509,-2.777,0
1619707312.21,2.7,24.402,0.363,0
1619707312.22,-0.957,29.976,-5.995,0
1619707312.23,-0.019,39.228,5.075,0
1619707312.241,-0.689,39.228,8.964,0
1619707312.25,6.359,36.45,-1.187,0
1619707312.261,7.738,17.526,2.279,0
1619707312.271,6.32,-1.245,4.999,0
1619707312.281,9.672,-3.007,7.221,0
1619707312.291,7.7,2.93,7.355,0
1619707312.301,3.658,2.739,13.542,0
1619707312.311,4.233,-0.555,15.093,0
1619707312.321,9.366,-4.137,11.224,0
1619707312.33,10.745,-5.516,4.252,0
1619707312.34,11.818,-10.534,-5.784,0
1619707312.352,10.132,-13.752,-17.009,0
1619707312.36,5.822,-10.305,-24.057,0
1619707312.371,3.141,-20.801,-27.926,0
1619707312.379,2.988,-38.404,-28.424,0
1619707312.39,5.956,-38.385,-19.882,0
1619707312.401,5.248,-21.759,-12.067,0
1619707312.41,6.933,-7.527,-7.814,0
1619707312.42,7.451,-1.915,-1.551,0
1619707312.431,6.282,-0.095,5.018,0
1619707312.44,5.324,-0.919,7.661,0
1619707312.45,8.753,0.325,4.846,0
1619707312.462,15.4,7.374,2.317,0
1619707312.472,16.625,18.043,4.348,0
1619707312.487,8.523,22.276,9.807,0
1619707312.493,1.992,19.326,-1.455,0
1619707312.5,2.317,22.793,-5.095,0
1619707312.511,3.869,39.151,-0.459,0
1619707312.521,-0.114,39.228,6.148,0
1619707312.53,3.505,36.776,4.06,0
1619707312.542,6.493,19.288,3.811,0
1619707312.55,6.435,4.635,6.148,0
1619707312.56,9.634,4.807,9.385,0
1619707312.57,8.523,7.891,5.497,0
1619707312.58,6.225,7.891,9.328,0
1619707312.59,7.221,8.37,11.53,0
1619707312.6,13.159,7.68,3.045,0
1619707312.61,19.977,4.137,-15.572,0
1619707312.62,21.778,-2.93,-37.887,0
1619707312.63,4.577,-19.786,-39.228,0
1619707312.64,-1.608,-31.125,-38.691,0
1619707312.653,4.328,-39.208,-36.718,0
1619707312.664,4.654,-33.271,-30.359,0
1619707312.677,9.079,-9.749,-25.053,0
1619707312.682,10.822,-2.432,-14.729,0
1619707312.689,9.692,-4.539,0.019,0
1619707312.699,10.036,-2.011,3.141,0
1619707312.709,10.075,-0.747,7.374,0
1619707312.72,9.979,-4.865,10.841,0
1619707312.73,18.483,-0.383,3.543,0
1619707312.74,23.253,18.005,-0.363,0
1619707312.75,13.12,23.08,-1.762,0
1619707312.76,3.524,29.65,-15.974,0
1619707312.771,1.072,39.228,-15.687,0
1619707312.78,-2.547,39.228,4.884,0
1619707312.79,4.099,38.787,2.355,0
1619707312.8,9.557,30.608,-0.957,0
1619707312.81,6.378,14.289,5.516,0
1619707312.821,7.68,5.688,8.121,0
1619707312.831,11.032,5.171,9.385,0
1619707312.84,11.205,8.121,4.06,0
1619707312.85,11.856,15.342,0.957,0
1619707312.86,17.545,16.855,-5.286,0
1619707312.872,23.521,5.899,-23.617,0
1619707312.881,18.215,-21.548,-39.228,0
1619707312.891,3.984,-39.208,-28.118,0
1619707312.9,4.654,-39.208,-34.516,0
1619707312.91,6.416,-35.454,-28.98,0
1619707312.921,4.022,-20.782,-22.391,0
1619707312.93,6.512,-13.35,-17.449,0
1619707312.94,6.32,-14.231,-8.868,0
1619707312.951,7.202,-9.96,-1.379,0
1619707312.961,6.895,-6.11,5.765,0
1619707312.971,6.895,-6.933,10.075,0
1619707312.98,9.941,-8.581,9.443,0
1619707312.99,14.94,2.988,5.497,0
1619707313.001,18.349,19.786,4.29,0
1619707313.011,16.549,29.344,5.727,0
1619707313.022,9.232,33.5,1.283,0
1619707313.031,3.773,39.228,-5.018,0
1619707313.042,-1.666,39.228,-3.179,0
1619707313.052,1.494,39.132,-4.348,0
1619707313.061,6.569,39.228,-6.991,0
1619707313.07,8.772,36.412,-1.819,0
1619707313.081,10.056,21.797,2.03,0
1619707313.091,9.404,9.308,1.915,0
1619707313.1,10.573,9.136,3.888,0
1619707313.11,8.925,8.81,10.056,0
1619707313.121,8.37,4.807,15.763,0
1619707313.13,10.879,0.21,13.925,0
1619707313.141,14.289,-1.053,1.091,0
1619707313.151,16.453,-5.497,-17.736,0
1619707313.161,19.46,-6.129,-38.404,0
1619707313.17,13.982,-3.39,-39.228,0
1619707313.18,4.443,-14.672,-38.959,0
1619707313.191,2.834,-26.605,-39.189,0
1619707313.2,8.312,-25.57,-39.228,0
1619707313.211,13.216,-15.227,-34.247,0
1619707313.22,8.81,-10.822,-12.986,0
1619707313.23,5.669,-6.838,-0.9,0
1619707313.241,5.727,-3.658,-0.191,0
1619707313.25,7.527,-6.263,1.877,0
1619707313.261,9.538,-9.826,6.244,0
1619707313.27,9.538,-9.653,11.703,0
1619707313.284,10.688,-8.849,16.491,0
1619707313.291,19.575,-1.13,-8.906,0
1619707313.3,35.588,31.336,-33.73,0
1619707313.31,16.606,39.228,-36.623,0
1619707313.321,-2.815,39.036,-31.834,0
1619707313.33,-15.476,39.017,28.367,0
1619707313.339,0.172,37.312,9.807,0
1619707313.349,12.182,26.107,-9.098,0
1619707313.36,8.447,20.092,0.9,0
1619707313.37,9.385,9.596,4.98,0
1619707313.381,12.909,4.482,4.788,0
1619707313.393,12.756,6.11,0.976,0
1619707313.4,9.807,10.803,0.593,0
1619707313.41,12.795,10.305,-1.474,0
1619707313.42,17.258,3.294,-9.213,0
1619707313.43,19.977,-7.144,-32.945,0
1619707313.44,17.87,-26.203,-39.228,0
1619707313.451,4.692,-38.212,-30.589,0
1619707313.46,-3.141,-26.701,-29.344,0
1619707313.47,-0.363,-17.928,-30.666,0
1619707313.48,3.715,-15.4,-37.35,0
1619707313.49,6.014,-15.649,-29.401,0
