TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620122738.952,-3.409,-0.67,8.178,0
1620122738.964,-3.447,-1.474,7.7,0
1620122738.974,-3.601,-2.585,7.221,0
1620122738.982,-3.715,-3.811,6.799,0
1620122738.992,-3.792,-4.941,6.531,0
1620122739.002,-3.83,-6.244,6.55,0
1620122739.012,-3.466,-7.565,6.32,0
1620122739.021,-2.566,-8.561,6.34,0
1620122739.032,-1.436,-9.443,6.359,0
1620122739.042,-0.268,-10.496,6.205,0
1620122739.054,0.172,-11.952,6.569,0
1620122739.061,0.459,-13.35,6.244,0
1620122739.072,0.747,-14.308,5.133,0
1620122739.081,0.689,-14.576,4.75,0
1620122739.091,0.363,-14.001,4.367,0
1620122739.102,-0.459,-13.388,4.271,0
1620122739.112,-1.091,-12.852,4.424,0
1620122739.124,-1.225,-12.182,4.826,0
1620122739.132,-1.053,-11.454,5.19,0
1620122739.141,-0.823,-10.745,5.267,0
1620122739.155,-0.957,-10.113,5.478,0
1620122739.165,-1.494,-9.538,5.937,0
1620122739.172,-2.298,-9.174,6.742,0
1620122739.185,-3.026,-8.887,7.336,0
1620122739.191,-3.83,-8.696,7.891,0
1620122739.201,-4.137,-7.604,7.91,0
1620122739.212,-4.156,-6.531,7.278,0
1620122739.221,-4.597,-6.129,7.125,0
1620122739.232,-5.458,-6.148,7.431,0
1620122739.241,-6.416,-6.11,7.7,0
1620122739.252,-7.106,-5.612,7.834,0
1620122739.261,-7.546,-5.152,8.063,0
1620122739.272,-8.217,-5.133,8.715,0
1620122739.281,-8.715,-4.903,8.561,0
1620122739.291,-8.772,-3.773,8.657,0
1620122739.301,-9.308,-2.739,8.102,0
1620122739.311,-9.443,-2.49,7.929,0
1620122739.323,-8.983,-1.34,7.987,0
1620122739.331,-8.274,1.417,8.619,0
1620122739.344,-7.891,4.673,10.4,0
1620122739.354,-7.987,6.397,10.841,0
1620122739.363,-7.949,5.439,10.783,0
1620122739.372,-7.278,2.796,10.439,0
1620122739.381,-6.684,0.785,9.423,0
1620122739.392,-6.416,0.038,8.906,0
1620122739.401,-6.78,-0.363,8.696,0
1620122739.411,-6.608,-0.689,7.814,0
1620122739.422,-6.205,-1.474,7.259,0
1620122739.433,-6.014,-2.643,7.048,0
1620122739.442,-5.784,-3.524,7.087,0
