TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620124793.973,-0.478,-3.524,9.481,0
1620124793.984,-0.708,-2.853,9.423,0
1620124793.991,-0.804,-2.375,9.481,0
1620124794.002,-0.804,-2.106,9.443,0
1620124794.012,-0.842,-1.819,9.481,0
1620124794.022,-0.919,-1.436,9.347,0
1620124794.032,-1.053,-0.957,9.27,0
1620124794.041,-1.206,-0.383,9.347,0
1620124794.051,-1.245,0.306,9.404,0
1620124794.062,-1.245,1.015,9.366,0
1620124794.071,-1.225,1.57,9.366,0
1620124794.081,-1.206,1.819,9.385,0
1620124794.091,-1.187,1.972,9.098,0
1620124794.101,-1.206,2.068,8.925,0
1620124794.111,-1.379,2.049,8.868,0
1620124794.121,-1.455,2.145,9.098,0
1620124794.131,-1.34,2.202,9.289,0
1620124794.141,-1.264,2.202,9.328,0
1620124794.152,-1.225,2.241,9.308,0
1620124794.163,-1.149,2.241,9.251,0
1620124794.175,-1.11,2.317,9.021,0
1620124794.18,-1.187,2.317,8.925,0
1620124794.19,-1.302,2.164,8.983,0
1620124794.201,-1.359,1.992,8.945,0
1620124794.211,-1.379,1.762,8.887,0
1620124794.222,-1.359,1.513,9.002,0
1620124794.232,-1.398,1.321,9.155,0
1620124794.242,-1.359,1.302,9.213,0
1620124794.251,-1.379,1.321,9.27,0
1620124794.262,-1.436,1.321,9.404,0
1620124794.271,-1.513,1.283,9.443,0
1620124794.282,-1.455,1.302,9.423,0
1620124794.293,-1.359,1.417,9.404,0
1620124794.302,-1.398,1.302,9.308,0
1620124794.312,-1.455,0.957,9.481,0
1620124794.321,-1.379,0.67,9.538,0
1620124794.332,-1.34,0.536,9.577,0
1620124794.342,-1.379,0.44,9.672,0
1620124794.352,-1.436,0.459,9.672,0
1620124794.361,-1.494,0.517,9.73,0
1620124794.372,-1.57,0.536,9.807,0
1620124794.382,-1.551,0.498,9.826,0
1620124794.392,-1.513,0.459,9.787,0
1620124794.402,-1.513,0.44,9.807,0
1620124794.412,-1.589,0.363,9.787,0
1620124794.422,-1.57,0.268,9.711,0
1620124794.432,-1.474,0.306,9.711,0
1620124794.443,-1.436,0.287,9.807,0
1620124794.452,-1.436,0.229,9.864,0
1620124794.463,-1.398,0.249,9.845,0
1620124794.472,-1.398,0.306,9.73,0
1620124794.482,-1.379,0.325,9.634,0
1620124794.493,-1.398,0.325,9.711,0
1620124794.503,-1.417,0.402,9.672,0
1620124794.512,-1.359,0.536,9.711,0
1620124794.523,-1.225,0.574,9.864,0
1620124794.531,-1.13,0.498,9.902,0
1620124794.542,-1.11,0.421,9.807,0
1620124794.552,-1.13,0.44,9.749,0
1620124794.563,-1.11,0.574,9.672,0
1620124794.573,-1.091,0.766,9.711,0
1620124794.582,-0.976,0.861,9.768,0
1620124794.592,-0.823,0.804,9.807,0
1620124794.603,-0.785,0.747,9.864,0
1620124794.613,-0.804,0.727,9.941,0
1620124794.623,-0.823,0.689,10.036,0
1620124794.633,-0.861,0.612,10.075,0
1620124794.642,-0.785,0.632,10.132,0
1620124794.652,-0.766,0.67,10.266,0
1620124794.662,-0.842,0.766,10.228,0
1620124794.672,-0.861,1.034,10.056,0
1620124794.682,-0.861,1.302,9.96,0
1620124794.694,-0.919,1.513,9.979,0
1620124794.702,-0.861,1.781,10.075,0
1620124794.713,-0.804,2.106,10.056,0
1620124794.723,-0.804,2.336,10.036,0
1620124794.734,-0.9,2.49,10.075,0
