TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1619708549.601,-9.826,-0.421,1.13,0
1619708549.61,-9.481,-0.229,1.206,0
1619708549.62,-9.404,-0.306,1.379,0
1619708549.63,-9.462,-0.651,1.398,0
1619708549.64,-9.155,-0.747,1.359,0
1619708549.65,-8.83,-0.689,1.379,0
1619708549.66,-8.6,-0.727,1.417,0
1619708549.67,-8.542,-1.149,1.513,0
1619708549.68,-8.696,-1.57,1.838,0
1619708549.69,-8.715,-1.8,2.106,0
1619708549.7,-8.696,-2.087,2.298,0
1619708549.71,-8.619,-2.49,2.49,0
1619708549.721,-8.466,-2.758,2.547,0
1619708549.731,-8.312,-2.873,2.528,0
1619708549.739,-8.121,-2.681,2.547,0
1619708549.749,-7.987,-2.547,2.681,0
1619708549.76,-8.121,-2.547,2.988,0
1619708549.77,-8.37,-2.49,3.332,0
1619708549.78,-8.619,-2.509,3.754,0
1619708549.791,-8.887,-2.432,4.175,0
1619708549.8,-9.079,-2.375,4.386,0
1619708549.81,-8.983,-2.451,4.175,0
1619708549.82,-8.887,-2.566,3.811,0
1619708549.83,-8.772,-2.566,3.294,0
1619708549.841,-8.715,-2.7,2.892,0
1619708549.85,-8.868,-2.796,2.604,0
1619708549.86,-9.174,-2.815,2.336,0
1619708549.871,-9.462,-2.911,2.126,0
1619708549.881,-9.711,-3.16,1.934,0
1619708549.891,-10.036,-3.524,1.743,0
1619708549.901,-10.419,-4.079,1.455,0
1619708549.91,-10.917,-4.539,1.11,0
1619708549.92,-10.975,-4.999,0.804,0
1619708549.93,-10.707,-5.861,0.536,0
1619708549.941,-10.898,-7.029,0.421,0
1619708549.95,-11.913,-8.504,0.651,0
1619708549.961,-13.484,-10.17,1.379,0
1619708549.97,-15.227,-11.664,1.972,0
1619708549.98,-16.223,-12.277,1.857,0
1619708549.991,-16.491,-11.243,0.919,0
1619708550.001,-16.108,-9.021,-0.306,0
1619708550.012,-15.38,-7.163,-0.996,0
1619708550.02,-15.17,-5.842,-1.13,0
1619708550.032,-15.572,-4.865,-1.015,0
1619708550.042,-16.166,-4.175,-0.727,0
1619708550.051,-16.874,-3.754,-0.21,0
1619708550.061,-17.621,-3.313,0.153,0
1619708550.07,-18.215,-3.083,0.421,0
1619708550.081,-18.637,-3.007,0.344,0
1619708550.09,-19.058,-3.026,0.076,0
1619708550.101,-19.364,-3.198,-0.134,0
1619708550.111,-19.479,-3.466,-0.172,0
1619708550.12,-19.518,-3.62,0.038,0
1619708550.13,-19.364,-3.677,0.114,0
1619708550.141,-19.02,-3.524,0.076,0
1619708550.15,-18.445,-2.892,-0.249,0
1619708550.16,-17.602,-1.992,-0.823,0
1619708550.171,-16.606,-1.302,-1.321,0
1619708550.18,-15.572,-0.9,-1.589,0
1619708550.19,-14.557,-0.766,-1.819,0
1619708550.2,-13.561,-0.919,-1.896,0
1619708550.212,-12.737,-1.283,-1.838,0
1619708550.22,-11.875,-1.379,-1.8,0
1619708550.23,-10.822,-1.187,-1.685,0
