TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1619708995.981,3.064,-0.938,1.417,0
1619708995.991,2.681,-0.919,1.589,0
1619708996.001,2.375,-0.842,1.723,0
1619708996.011,1.934,-0.976,1.857,0
1619708996.023,1.704,-1.11,1.953,0
1619708996.031,1.647,-1.13,2.087,0
1619708996.041,1.589,-1.187,2.164,0
1619708996.052,1.589,-1.245,2.183,0
1619708996.061,1.666,-1.245,2.202,0
1619708996.071,1.857,-1.264,2.221,0
1619708996.081,2.068,-1.379,2.221,0
1619708996.09,2.394,-1.57,2.221,0
1619708996.101,2.911,-1.819,2.298,0
1619708996.11,3.543,-2.03,2.451,0
1619708996.12,4.213,-2.241,2.585,0
1619708996.13,4.846,-2.47,2.7,0
1619708996.14,5.344,-2.719,2.7,0
1619708996.152,5.631,-2.988,2.643,0
1619708996.162,5.88,-3.179,2.547,0
1619708996.171,6.071,-3.198,2.355,0
1619708996.18,6.148,-3.179,2.202,0
1619708996.191,6.493,-3.237,2.183,0
1619708996.201,7.336,-3.409,2.126,0
1619708996.211,8.447,-3.677,2.049,0
1619708996.22,9.653,-3.945,2.011,0
1619708996.231,11.013,-3.964,1.934,0
1619708996.24,12.373,-3.754,1.743,0
1619708996.25,13.484,-3.524,1.417,0
1619708996.261,14.269,-3.524,1.034,0
1619708996.271,14.748,-3.735,1.034,0
1619708996.281,15.151,-3.83,1.762,0
1619708996.29,15.572,-3.696,2.815,0
1619708996.301,15.668,-3.409,3.715,0
1619708996.31,15.38,-2.968,4.194,0
1619708996.32,15.016,-2.509,4.079,0
1619708996.331,14.614,-2.221,3.409,0
1619708996.341,14.193,-2.049,2.643,0
1619708996.351,13.906,-1.915,1.8,0
1619708996.361,13.925,-1.934,1.034,0
1619708996.371,14.308,-2.068,0.325,0
1619708996.38,14.806,-2.279,-0.287,0
1619708996.39,15.112,-2.566,-0.67,0
1619708996.401,15.476,-2.892,-0.689,0
1619708996.411,15.706,-3.275,-0.402,0
1619708996.421,15.514,-3.792,0.095,0
1619708996.431,15.227,-4.175,0.651,0
1619708996.441,14.844,-4.462,1.245,0
1619708996.45,14.442,-4.635,1.819,0
1619708996.461,14.04,-4.577,2.432,0
1619708996.471,13.618,-4.405,2.853,0
1619708996.481,13.35,-4.271,2.873,0
1619708996.49,12.948,-4.175,2.719,0
1619708996.5,12.737,-4.099,2.528,0
1619708996.51,12.718,-4.156,2.355,0
1619708996.52,12.756,-4.156,2.317,0
1619708996.53,12.756,-4.022,2.451,0
1619708996.54,12.718,-3.83,2.566,0
1619708996.55,12.277,-3.773,2.585,0
1619708996.56,11.913,-3.984,2.719,0
1619708996.57,11.894,-4.022,2.834,0
1619708996.58,11.799,-4.003,3.007,0
1619708996.59,11.607,-4.003,3.16,0
1619708996.6,11.55,-3.907,3.294,0
1619708996.61,11.454,-3.811,3.428,0
1619708996.621,11.358,-3.754,3.505,0
1619708996.629,11.205,-3.754,3.543,0
1619708996.639,11.09,-3.811,3.601,0
1619708996.649,11.109,-3.715,3.696,0
1619708996.66,11.166,-3.486,3.639,0
1619708996.672,10.803,-3.332,3.447,0
1619708996.68,10.209,-3.332,3.256,0
1619708996.69,9.826,-3.524,3.064,0
1619708996.7,9.672,-3.792,2.968,0
1619708996.711,9.653,-4.099,3.026,0
1619708996.721,9.692,-4.328,3.237,0
1619708996.73,9.692,-4.482,3.352,0
1619708996.74,9.634,-4.539,3.466,0
1619708996.75,9.443,-4.539,3.428,0
1619708996.761,9.27,-4.577,3.256,0
1619708996.771,9.232,-4.654,3.102,0
1619708996.781,9.481,-4.807,3.083,0
1619708996.79,9.921,-5.018,3.217,0
1619708996.801,10.419,-5.229,3.466,0
1619708996.811,11.052,-5.401,3.735,0
1619708996.82,11.626,-5.401,4.041,0
1619708996.83,12.028,-5.286,4.156,0
1619708996.841,12.335,-5.133,3.984,0
1619708996.85,12.431,-4.903,3.639,0
1619708996.861,12.469,-4.558,3.122,0
1619708996.871,12.584,-4.367,2.7,0
1619708996.88,12.852,-4.424,2.509,0
1619708996.89,13.312,-4.635,2.49,0
1619708996.9,13.906,-5.018,2.643,0
1619708996.911,14.672,-5.42,2.777,0
1619708996.92,15.323,-5.822,2.892,0
1619708996.93,15.649,-6.186,2.988,0
1619708996.941,15.763,-6.378,3.007,0
1619708996.951,15.687,-6.416,2.796,0
1619708996.961,15.304,-5.612,1.685,0
1619708996.97,15.036,-4.96,1.053,0
1619708996.98,15.112,-4.539,0.536,0
1619708996.991,15.61,-4.367,0.287,0
1619708997.001,16.376,-4.367,0.268,0
1619708997.011,17.277,-4.367,0.287,0
1619708997.021,18.254,-4.309,0.306,0
1619708997.03,18.981,-4.156,0.229,0
1619708997.04,19.345,-3.888,0.134,0
1619708997.051,19.537,-3.562,-0.038,0
1619708997.06,19.422,-3.332,-0.095,0
1619708997.071,19.001,-3.083,-0.095,0
1619708997.081,18.215,-2.662,-0.21,0
1619708997.091,17.545,-2.26,-0.459,0
1619708997.1,17.392,-2.03,-0.612,0
1619708997.111,16.453,-1.896,-0.517,0
1619708997.12,15.687,-1.896,-0.536,0
1619708997.13,15.304,-1.896,-0.632,0
1619708997.14,14.672,-1.877,-0.727,0
1619708997.15,13.81,-2.011,-0.804,0
1619708997.16,13.044,-2.202,-0.9,0
1619708997.17,12.373,-2.298,-0.996,0
1619708997.18,11.626,-2.394,-1.015,0
1619708997.19,11.052,-2.432,-1.053,0
1619708997.201,10.439,-2.585,-1.13,0
1619708997.21,9.845,-2.777,-1.072,0
1619708997.22,9.347,-2.758,-1.034,0
1619708997.231,8.849,-2.681,-0.976,0
1619708997.241,8.37,-2.643,-0.823,0
1619708997.251,8.006,-2.585,-0.747,0
1619708997.26,7.795,-2.451,-0.785,0
1619708997.27,7.451,-2.317,-0.747,0
1619708997.281,7.125,-2.202,-0.747,0
1619708997.291,6.857,-2.087,-0.708,0
1619708997.301,6.531,-1.992,-0.593,0
1619708997.31,6.378,-1.934,-0.593,0
1619708997.322,6.11,-2.087,-0.574,0
1619708997.331,5.918,-2.164,-0.574,0
1619708997.34,5.631,-2.202,-0.555,0
1619708997.351,5.382,-2.126,-0.536,0
1619708997.36,5.19,-2.049,-0.574,0
1619708997.37,4.999,-1.953,-0.574,0
1619708997.381,4.903,-1.857,-0.574,0
