TimeStamp,X-Axis,Y-Axis,Z-Axis,Class
1620734699.94,8.083,-3.754,5.497,0
1620734699.95,8.083,-3.773,5.497,0
1620734699.962,8.102,-3.773,5.478,0
1620734699.972,8.102,-3.754,5.478,0
1620734699.982,8.102,-3.754,5.458,0
1620734699.99,8.083,-3.754,5.458,0
1620734700.031,8.083,-3.773,5.439,0
1620734700.033,8.063,-3.773,5.439,0
1620734700.034,8.083,-3.773,5.458,0
1620734700.035,8.121,-3.735,5.478,0
1620734700.04,8.121,-3.735,5.497,0
1620734700.052,8.102,-3.754,5.535,0
1620734700.06,8.063,-3.792,5.497,0
1620734700.07,8.083,-3.83,5.439,0
1620734700.08,8.083,-3.83,5.42,0
1620734700.09,8.083,-3.811,5.42,0
1620734700.1,8.102,-3.773,5.42,0
1620734700.11,8.063,-3.754,5.439,0
1620734700.12,8.063,-3.715,5.478,0
1620734700.13,8.044,-3.696,5.497,0
1620734700.14,8.063,-3.696,5.497,0
1620734700.15,8.063,-3.735,5.478,0
1620734700.16,8.063,-3.735,5.516,0
1620734700.17,8.063,-3.715,5.535,0
1620734700.18,8.044,-3.677,5.535,0
1620734700.19,8.044,-3.677,5.516,0
1620734700.2,8.083,-3.639,5.497,0
1620734700.212,8.083,-3.639,5.478,0
1620734700.22,8.063,-3.658,5.478,0
1620734700.232,8.025,-3.696,5.497,0
1620734700.24,8.025,-3.696,5.516,0
1620734700.25,8.025,-3.715,5.516,0
1620734700.26,8.006,-3.696,5.516,0
1620734700.27,8.025,-3.677,5.535,0
1620734700.28,8.025,-3.639,5.516,0
1620734700.29,8.025,-3.601,5.497,0
1620734700.302,7.968,-3.581,5.497,0
1620734700.31,7.91,-3.543,5.497,0
1620734700.322,7.834,-3.486,5.497,0
1620734700.33,7.795,-3.428,5.42,0
1620734700.34,7.795,-3.313,5.229,0
1620734700.35,7.776,-3.16,4.941,0
1620734700.36,7.738,-3.026,4.731,0
1620734700.37,7.604,-2.949,4.597,0
1620734700.38,7.489,-2.968,4.75,0
1620734700.39,7.508,-3.179,5.037,0
1620734700.4,7.565,-3.313,5.171,0
1620734700.41,7.661,-3.16,5.42,0
1620734700.42,7.719,-2.777,6.244,0
1620734700.43,7.872,-2.375,7.259,0
1620734700.44,8.178,-2.011,7.585,0
1620734700.45,8.255,-2.011,7.949,0
1620734700.46,8.044,-2.394,8.37,0
1620734700.47,7.738,-3.007,8.293,0
1620734700.48,7.642,-3.62,7.259,0
1620734700.49,7.393,-4.405,6.34,0
1620734700.5,7.202,-5.707,5.554,0
1620734700.51,7.68,-7.067,4.52,0
1620734700.52,8.542,-7.565,5.171,0
1620734700.53,9.251,-6.876,6.474,0
1620734700.54,9.251,-5.554,7.202,0
1620734700.55,8.542,-4.309,7.259,0
1620734700.56,7.968,-3.237,6.838,0
1620734700.57,7.565,-2.47,6.569,0
1620734700.58,7.355,-2.145,6.608,0
1620734700.59,7.297,-2.068,6.531,0
1620734700.6,7.412,-2.164,6.454,0
1620734700.61,7.661,-2.451,6.225,0
1620734700.62,7.814,-2.834,5.956,0
1620734700.63,7.834,-3.198,5.593,0
1620734700.64,7.853,-3.409,5.209,0
1620734700.65,7.872,-3.428,4.941,0
1620734700.66,7.929,-3.409,4.865,0
1620734700.67,8.083,-3.371,4.96,0
1620734700.68,8.293,-3.217,5.095,0
1620734700.69,8.466,-2.853,5.248,0
1620734700.7,8.485,-2.375,5.363,0
1620734700.71,8.389,-1.953,5.458,0
1620734700.72,8.236,-1.704,5.554,0
1620734700.73,8.063,-1.532,5.535,0
1620734700.74,8.006,-1.494,5.42,0
1620734700.752,8.006,-1.608,5.401,0
1620734700.76,8.025,-1.934,5.363,0
1620734700.77,8.102,-2.394,5.305,0
1620734700.782,8.178,-2.834,5.171,0
1620734700.79,8.274,-3.064,5.152,0
1620734700.8,8.217,-3.16,5.439,0
1620734700.81,8.044,-3.16,5.688,0
1620734700.82,7.853,-3.141,5.631,0
1620734700.83,7.776,-3.217,5.535,0
1620734700.842,7.738,-3.466,5.535,0
1620734700.85,7.719,-3.811,5.554,0
1620734700.86,7.738,-4.137,5.497,0
1620734700.87,7.776,-4.405,5.497,0
1620734700.88,7.776,-4.616,5.497,0
1620734700.89,7.719,-4.769,5.573,0
1620734700.9,7.719,-4.865,5.65,0
1620734700.91,7.757,-4.922,5.669,0
1620734700.92,7.776,-4.884,5.784,0
1620734700.93,7.795,-4.75,5.861,0
1620734700.94,7.757,-4.597,5.88,0
1620734700.952,7.795,-4.405,5.803,0
1620734700.96,7.872,-4.213,5.88,0
1620734700.97,7.929,-3.926,5.956,0
1620734700.98,7.929,-3.581,6.091,0
1620734700.99,7.929,-3.179,6.205,0
1620734701.0,7.91,-2.777,6.32,0
1620734701.01,7.853,-2.413,6.493,0
1620734701.046,7.776,-2.183,6.55,0
1620734701.048,7.68,-2.145,6.531,0
1620734701.049,7.642,-2.317,6.512,0
1620734701.05,7.623,-2.662,6.454,0
1620734701.06,7.7,-3.064,6.244,0
1620734701.07,7.757,-3.447,6.071,0
1620734701.08,7.853,-3.735,5.956,0
1620734701.09,7.757,-3.888,6.129,0
1620734701.1,7.757,-3.945,6.148,0
1620734701.112,7.757,-3.907,6.071,0
1620734701.12,7.719,-3.773,6.071,0
1620734701.13,7.508,-3.696,6.282,0
1620734701.14,7.546,-3.83,5.995,0
1620734701.15,7.585,-4.099,6.148,0
1620734701.16,7.623,-4.079,6.359,0
1620734701.17,7.642,-4.099,6.34,0
1620734701.18,7.7,-4.118,6.071,0
1620734701.19,7.719,-3.945,5.842,0
1620734701.2,7.661,-3.62,6.225,0
1620734701.212,7.776,-3.907,6.435,0
1620734701.22,7.776,-3.62,5.784,0
1620734701.23,7.719,-3.696,6.531,0
1620734701.24,7.891,-3.639,5.861,0
1620734701.25,7.814,-3.677,6.493,0
1620734701.26,7.91,-3.658,6.282,0
1620734701.27,7.91,-3.658,6.282,0
1620734701.28,7.776,-3.198,5.956,0
1620734701.29,7.91,-3.447,5.842,0
1620734701.302,7.757,-3.275,6.244,0
1620734701.31,7.814,-3.026,5.631,0
1620734701.32,7.834,-3.256,5.956,0
1620734701.33,7.814,-3.007,5.631,0
1620734701.34,7.738,-3.237,6.205,0
1620734701.35,7.68,-2.911,5.842,0
1620734701.36,7.853,-3.275,5.803,0
1620734701.37,7.7,-3.237,6.225,0
1620734701.38,7.814,-3.217,5.631,0
1620734701.39,7.853,-3.715,6.071,0
1620734701.4,7.757,-3.409,5.861,0
1620734701.412,7.949,-3.754,5.669,0
1620734701.42,7.776,-3.581,6.205,0
1620734701.43,7.853,-3.371,5.669,0
1620734701.44,7.814,-3.581,6.263,0
1620734701.45,7.719,-3.141,5.976,0
1620734701.46,7.776,-3.658,6.301,0
