TimeStamp,X-Axis,Y-Axis,Z-Axis
1619707823.4,-1.264,-7.738,3.332
1619707823.412,-1.187,-7.585,3.409
1619707823.421,-1.072,-7.872,3.562
1619707823.431,-0.976,-7.853,3.466
1619707823.44,-0.747,-7.642,3.256
1619707823.45,-0.574,-7.565,2.988
1619707823.461,-0.402,-7.221,2.911
1619707823.471,-0.229,-6.627,3.217
1619707823.481,-0.229,-5.995,3.62
1619707823.49,-0.344,-5.516,3.945
1619707823.501,-0.555,-5.018,3.907
1619707823.511,-0.708,-4.424,3.505
1619707823.521,-0.612,-3.85,3.007
1619707823.53,-0.498,-3.754,2.739
1619707823.541,-0.536,-4.865,2.719
1619707823.55,-0.44,-6.895,3.16
1619707823.56,0.287,-8.121,3.658
1619707823.571,0.861,-7.987,3.85
1619707823.581,0.976,-6.818,3.754
1619707823.59,0.938,-5.42,3.677
1619707823.6,0.498,-4.999,3.332
1619707823.611,0.249,-5.439,3.313
1619707823.621,0.593,-5.612,3.466
1619707823.631,0.938,-5.765,3.581
1619707823.641,1.283,-6.263,3.83
1619707823.651,1.762,-6.857,4.137
1619707823.66,2.164,-7.278,4.386
1619707823.67,2.509,-7.527,4.577
1619707823.68,2.777,-7.814,4.826
1619707823.69,3.352,-7.814,4.692
1619707823.7,4.654,-10.419,7.91
1619707823.71,4.98,-23.329,15.055
1619707823.72,6.704,-28.616,16.568
1619707823.73,7.738,-12.814,12.316
1619707823.74,3.122,-3.045,7.144
1619707823.75,-1.225,-6.11,4.826
1619707823.76,-0.632,-11.703,4.118
1619707823.77,2.739,-15.687,4.386
1619707823.78,4.922,-17.794,6.646
1619707823.791,5.65,-15.285,8.791
1619707823.8,4.826,-10.017,9.194
1619707823.81,2.968,-6.435,8.14
1619707823.82,1.608,-5.305,6.55
1619707823.83,1.11,-5.018,5.631
1619707823.841,0.996,-5.171,5.19
1619707823.851,1.034,-4.807,4.884
1619707823.861,1.245,-4.462,4.846
1619707823.871,1.455,-4.769,4.922
1619707823.88,1.781,-5.573,5.248
1619707823.89,2.068,-6.646,5.746
1619707823.902,2.145,-7.604,6.397
1619707823.911,2.011,-7.891,6.397
1619707823.921,1.915,-8.236,6.129
1619707823.931,1.934,-8.466,5.612
1619707823.941,1.743,-8.772,5.075
1619707823.952,1.819,-8.83,4.462
1619707823.96,1.781,-9.347,3.964
1619707823.971,1.915,-9.998,3.83
1619707823.98,2.145,-10.343,3.964
1619707823.99,2.145,-10.841,4.309
1619707824.002,2.432,-10.496,4.577
1619707824.011,2.375,-9.615,4.999
1619707824.02,2.145,-8.542,5.248
1619707824.036,2.106,-7.68,5.209
1619707824.043,2.106,-7.489,5.114
1619707824.05,2.068,-7.7,5.056
1619707824.06,2.011,-7.891,4.999
1619707824.072,2.03,-8.006,5.095
1619707824.081,2.106,-8.351,5.286
1619707824.09,2.183,-8.791,5.497
1619707824.099,2.241,-9.002,5.612
1619707824.11,2.26,-8.983,5.631
1619707824.119,2.221,-8.81,5.631
1619707824.13,2.164,-8.523,5.593
1619707824.14,2.145,-8.293,5.631
1619707824.15,2.183,-8.236,5.631
1619707824.16,2.183,-8.255,5.516
1619707824.17,2.183,-8.351,5.497
1619707824.196,2.183,-8.504,5.42
1619707824.202,2.145,-8.561,5.401
1619707824.209,2.145,-8.504,5.42
1619707824.215,2.126,-8.427,5.497
1619707824.222,2.106,-8.504,5.516
1619707824.23,2.106,-8.561,5.497
1619707824.241,2.049,-8.523,5.458
1619707824.252,2.049,-8.485,5.344
1619707824.262,2.068,-8.466,5.229
1619707824.269,2.068,-8.485,5.19
1619707824.279,2.068,-8.523,5.209
1619707824.29,2.068,-8.542,5.229
1619707824.299,2.106,-8.523,5.229
1619707824.31,2.106,-8.504,5.171
1619707824.32,2.068,-8.504,5.19
1619707824.33,2.068,-8.523,5.209
1619707824.34,2.087,-8.542,5.171
1619707824.35,2.087,-8.523,5.133
1619707824.359,2.03,-8.504,5.209
1619707824.369,2.03,-8.466,5.286
1619707824.381,2.049,-8.447,5.286
1619707824.39,2.049,-8.466,5.324
1619707824.4,2.049,-8.485,5.324
1619707824.411,1.992,-8.485,5.286
1619707824.421,1.992,-8.466,5.286
1619707824.43,1.972,-8.485,5.363
1619707824.44,1.972,-8.561,5.401
1619707824.451,1.992,-8.561,5.42
1619707824.461,1.992,-8.504,5.458
1619707824.471,2.011,-8.427,5.458
1619707824.48,1.992,-8.447,5.458
1619707824.491,1.992,-8.447,5.401
1619707824.5,1.992,-8.485,5.344
1619707824.51,1.972,-8.542,5.286
1619707824.522,1.934,-8.523,5.305
1619707824.531,1.915,-8.504,5.363
1619707824.542,1.953,-8.408,5.401
1619707824.551,1.934,-8.427,5.458
1619707824.56,1.953,-8.485,5.478
1619707824.57,1.953,-8.523,5.458
1619707824.581,1.934,-8.561,5.401
1619707824.591,1.915,-8.542,5.401
1619707824.602,1.934,-8.561,5.439
