TimeStamp,X-Axis,Y-Axis,Z-Axis
2021-04-29 14:58:46.941,-4.673,-8.198,3.754
2021-04-29 14:58:46.950,-4.405,-7.814,3.409
2021-04-29 14:58:46.961,-4.309,-7.412,3.658
2021-04-29 14:58:46.971,-4.213,-7.048,4.213
2021-04-29 14:58:46.982,-4.041,-7.278,4.807
2021-04-29 14:58:46.991,-3.984,-7.68,5.171
2021-04-29 14:58:47.001,-4.06,-7.508,5.152
2021-04-29 14:58:47.011,-3.964,-7.125,4.903
2021-04-29 14:58:47.021,-3.543,-7.029,4.539
2021-04-29 14:58:47.031,-3.217,-7.087,4.137
2021-04-29 14:58:47.041,-2.968,-7.144,3.696
2021-04-29 14:58:47.050,-2.585,-7.24,3.371
2021-04-29 14:58:47.060,-2.26,-7.374,3.39
2021-04-29 14:58:47.070,-2.145,-6.972,3.524
2021-04-29 14:58:47.081,-1.992,-6.435,3.562
2021-04-29 14:58:47.090,-1.857,-6.359,3.524
2021-04-29 14:58:47.101,-1.838,-6.531,3.524
2021-04-29 14:58:47.110,-1.781,-6.454,3.505
2021-04-29 14:58:47.121,-1.647,-6.34,3.447
2021-04-29 14:58:47.131,-1.532,-6.378,3.409
2021-04-29 14:58:47.142,-1.57,-6.282,3.486
2021-04-29 14:58:47.151,-1.608,-6.014,3.581
2021-04-29 14:58:47.160,-1.474,-5.822,3.409
2021-04-29 14:58:47.170,-1.283,-5.765,3.179
2021-04-29 14:58:47.180,-1.302,-5.535,3.064
2021-04-29 14:58:47.191,-1.359,-5.324,3.026
2021-04-29 14:58:47.201,-1.379,-5.344,3.045
2021-04-29 14:58:47.212,-1.494,-5.248,3.141
2021-04-29 14:58:47.221,-1.704,-5.248,2.968
2021-04-29 14:58:47.230,-1.915,-5.593,2.777
2021-04-29 14:58:47.240,-2.087,-5.573,2.719
2021-04-29 14:58:47.251,-2.183,-5.401,2.681
2021-04-29 14:58:47.261,-2.317,-5.305,2.719
2021-04-29 14:58:47.271,-2.566,-5.229,2.834
2021-04-29 14:58:47.280,-2.834,-5.363,2.739
2021-04-29 14:58:47.292,-3.083,-5.803,2.643
