TimeStamp,X-Axis,Y-Axis,Z-Axis
1619707307.711,1.819,-6.282,7.872
1619707307.721,1.819,-6.282,7.872
1619707307.73,1.819,-6.282,7.872
1619707307.74,1.819,-6.301,7.891
1619707307.75,1.819,-6.301,7.891
1619707307.76,1.838,-6.282,7.891
1619707307.77,1.857,-6.263,7.891
1619707307.78,1.857,-6.263,7.891
1619707307.79,1.838,-6.263,7.872
1619707307.8,1.838,-6.263,7.872
1619707307.81,1.838,-6.244,7.872
1619707307.82,1.819,-6.263,7.872
1619707307.83,1.819,-6.263,7.872
1619707307.84,1.838,-6.263,7.891
1619707307.85,1.838,-6.263,7.872
1619707307.86,1.838,-6.263,7.872
1619707307.872,1.857,-6.282,7.891
1619707307.879,1.819,-6.282,7.91
1619707307.89,1.838,-6.301,7.929
1619707307.9,1.915,-6.435,7.853
1619707307.91,1.934,-6.627,7.776
1619707307.92,1.915,-6.531,7.7
1619707307.93,1.934,-6.416,7.929
1619707307.94,1.877,-6.435,8.044
1619707307.95,1.992,-6.512,8.178
1619707307.96,2.624,-6.205,8.255
1619707307.97,2.853,-5.803,8.178
1619707307.981,2.49,-5.727,8.102
1619707307.99,2.26,-6.014,8.159
1619707308.0,2.451,-6.014,8.178
1619707308.011,2.604,-5.899,8.159
1619707308.021,2.873,-5.842,8.236
1619707308.031,3.217,-5.516,8.638
1619707308.04,2.777,-5.305,8.791
1619707308.051,1.934,-5.593,9.04
1619707308.06,1.417,-5.344,9.021
1619707308.07,1.149,-5.075,9.059
1619707308.082,0.938,-4.52,9.615
1619707308.09,1.015,-4.194,9.73
1619707308.101,1.379,-3.773,9.059
1619707308.11,1.57,-3.505,8.217
1619707308.121,1.494,-3.964,8.044
1619707308.13,1.608,-4.692,8.523
1619707308.14,1.743,-5.056,9.194
1619707308.15,1.743,-4.941,9.672
1619707308.16,1.666,-4.635,9.634
1619707308.17,1.762,-4.52,9.174
1619707308.182,1.8,-4.616,8.849
1619707308.19,1.934,-4.711,8.696
1619707308.201,1.877,-4.941,8.351
1619707308.211,1.857,-5.095,7.91
1619707308.221,1.494,-5.516,7.489
1619707308.232,1.743,-5.324,7.546
1619707308.241,1.359,-5.593,7.795
1619707308.25,1.589,-5.037,7.853
1619707308.26,1.245,-5.171,7.585
1619707308.269,1.359,-5.152,7.297
1619707308.279,1.359,-5.803,7.24
1619707308.289,1.321,-6.799,7.259
1619707308.3,1.398,-7.795,7.259
1619707308.31,1.417,-8.504,6.972
1619707308.32,1.551,-9.213,6.397
1619707308.33,1.589,-9.768,5.822
1619707308.34,1.513,-9.73,5.267
1619707308.351,1.417,-9.347,4.673
1619707308.36,1.379,-8.734,4.52
1619707308.37,1.072,-8.619,4.156
1619707308.382,0.919,-9.194,3.428
1619707308.391,0.842,-10.017,1.992
1619707308.4,0.574,-11.128,0.9
1619707308.41,0.383,-11.875,0.517
1619707308.421,0.287,-11.741,0.325
1619707308.431,0.268,-11.415,0.114
1619707308.442,0.306,-10.113,-0.268
1619707308.45,0.134,-9.768,-0.268
1619707308.46,0.287,-10.17,-0.9
1619707308.471,0.191,-10.898,-1.436
1619707308.48,-0.038,-12.086,-1.781
1619707308.491,0.038,-12.546,-1.647
1619707308.5,0.134,-11.588,-1.379
1619707308.511,-0.057,-10.841,-0.747
1619707308.52,-0.134,-10.439,-0.325
1619707308.531,-0.153,-10.305,-0.229
1619707308.541,-0.249,-10.381,0.019
1619707308.551,-0.478,-10.228,0.134
1619707308.56,-0.689,-9.921,0.076
1619707308.57,-0.842,-9.692,0
1619707308.582,-0.976,-9.692,0.134
1619707308.592,-1.034,-9.711,0.651
1619707308.602,-0.9,-9.711,1.072
1619707308.611,-0.727,-9.653,1.34
1619707308.621,-0.727,-9.634,1.359
1619707308.631,-0.785,-9.883,1.455
1619707308.641,-0.842,-10.4,1.8
1619707308.652,-0.747,-10.745,1.934
1619707308.661,-0.498,-10.381,2.183
1619707308.672,-0.632,-9.672,2.145
1619707308.681,-0.938,-9.423,2.106
