TimeStamp,X-Axis,Y-Axis,Z-Axis
2021-04-29 14:36:52.240,-1.245,-5.382,8.37
2021-04-29 14:36:52.251,-1.245,-5.344,8.351
2021-04-29 14:36:52.260,-1.225,-5.305,8.37
2021-04-29 14:36:52.271,-1.206,-5.344,8.37
2021-04-29 14:36:52.280,-1.206,-5.382,8.351
2021-04-29 14:36:52.290,-1.225,-5.382,8.351
2021-04-29 14:36:52.300,-1.206,-5.363,8.37
2021-04-29 14:36:52.310,-1.245,-5.363,8.351
2021-04-29 14:36:52.320,-1.245,-5.382,8.37
2021-04-29 14:36:52.330,-1.302,-5.439,8.37
2021-04-29 14:36:52.341,-1.321,-5.535,8.447
2021-04-29 14:36:52.350,-1.455,-5.65,8.523
2021-04-29 14:36:52.360,-1.494,-5.765,8.638
2021-04-29 14:36:52.372,-1.532,-5.976,8.868
2021-04-29 14:36:52.381,-1.743,-5.631,9.059
2021-04-29 14:36:52.390,-1.762,-5.229,9.232
2021-04-29 14:36:52.407,-1.915,-5.095,9.002
2021-04-29 14:36:52.412,-1.896,-5.401,9.04
2021-04-29 14:36:52.420,-1.762,-5.976,9.443
2021-04-29 14:36:52.429,-1.743,-6.205,10.113
2021-04-29 14:36:52.440,-1.953,-5.861,10.822
2021-04-29 14:36:52.450,-2.03,-5.095,11.186
2021-04-29 14:36:52.460,-2.068,-4.328,11.377
2021-04-29 14:36:52.471,-2.241,-3.869,11.53
2021-04-29 14:36:52.480,-1.992,-3.735,11.511
2021-04-29 14:36:52.490,-1.8,-3.083,11.818
2021-04-29 14:36:52.501,-2.049,-3.352,12.048
2021-04-29 14:36:52.510,-1.877,-4.003,12.258
2021-04-29 14:36:52.521,-1.743,-3.524,12.182
2021-04-29 14:36:52.531,-1.57,-2.949,12.297
2021-04-29 14:36:52.541,-1.168,-2.796,12.411
2021-04-29 14:36:52.551,-0.727,-2.988,12.028
2021-04-29 14:36:52.561,-0.555,-3.313,11.53
2021-04-29 14:36:52.571,-0.421,-3.562,11.09
2021-04-29 14:36:52.580,-0.057,-3.792,10.975
2021-04-29 14:36:52.590,0.153,-3.524,11.09
2021-04-29 14:36:52.601,0.287,-3.083,10.956
2021-04-29 14:36:52.610,0.689,-3.026,10.534
2021-04-29 14:36:52.621,1.264,-3.237,9.615
2021-04-29 14:36:52.630,1.762,-3.486,8.849
2021-04-29 14:36:52.640,2.26,-3.294,8.37
2021-04-29 14:36:52.651,2.49,-2.777,8.427
2021-04-29 14:36:52.661,2.547,-2.298,8.676
2021-04-29 14:36:52.671,2.585,-2.604,8.561
2021-04-29 14:36:52.681,2.528,-4.003,8.255
2021-04-29 14:36:52.691,2.355,-4.922,8.14
2021-04-29 14:36:52.701,2.03,-4.616,8.351
2021-04-29 14:36:52.711,1.743,-3.984,8.657
2021-04-29 14:36:52.720,1.474,-3.83,9.04
2021-04-29 14:36:52.732,1.283,-4.252,9.098
2021-04-29 14:36:52.741,0.919,-4.903,9.213
2021-04-29 14:36:52.750,0.612,-4.98,9.136
2021-04-29 14:36:52.761,0.498,-4.692,9.213
2021-04-29 14:36:52.770,0.785,-4.788,9.347
2021-04-29 14:36:52.780,0.555,-4.903,9.385
2021-04-29 14:36:52.790,0.344,-4.922,9.328
2021-04-29 14:36:52.802,-0.21,-4.654,9.308
2021-04-29 14:36:52.811,-0.172,-4.443,9.385
2021-04-29 14:36:52.821,0.076,-4.501,9.27
2021-04-29 14:36:52.831,-0.114,-4.194,9.519
2021-04-29 14:36:52.840,-0.344,-3.275,9.577
2021-04-29 14:36:52.851,-0.421,-2.681,9.366
2021-04-29 14:36:52.861,-0.153,-2.394,9.174
2021-04-29 14:36:52.872,0.134,-1.972,8.906
2021-04-29 14:36:52.882,0.153,-1.398,8.676
2021-04-29 14:36:52.891,0.153,-1.015,8.715
2021-04-29 14:36:52.900,0.134,-0.823,8.81
2021-04-29 14:36:52.910,0.114,-0.593,8.81
2021-04-29 14:36:52.921,0.287,-0.249,8.83
2021-04-29 14:36:52.930,0.383,0.134,8.945
2021-04-29 14:36:52.940,0.325,0.459,9.021
2021-04-29 14:36:52.950,0.287,0.632,8.906
2021-04-29 14:36:52.960,0.344,0.823,8.696
2021-04-29 14:36:52.971,0.383,0.9,8.6
2021-04-29 14:36:52.980,0.44,0.861,8.6
2021-04-29 14:36:52.990,0.555,0.823,8.791
2021-04-29 14:36:53.000,0.517,0.842,8.983
2021-04-29 14:36:53.010,0.44,1.053,9.098
2021-04-29 14:36:53.020,0.498,1.34,9.174
2021-04-29 14:36:53.030,0.67,1.532,9.213
