@relation features_norm

@attribute meanX numeric
@attribute meanY numeric
@attribute meanZ numeric
@attribute maxX numeric
@attribute maxY numeric
@attribute maxZ numeric
@attribute minX numeric
@attribute minY numeric
@attribute minZ numeric
@attribute stdX numeric
@attribute stdY numeric
@attribute stdZ numeric
@attribute varX numeric
@attribute varY numeric
@attribute varZ numeric
@attribute medianX numeric
@attribute medianY numeric
@attribute medianZ numeric
@attribute rmsX numeric
@attribute rmsY numeric
@attribute rmsZ numeric
@attribute corX numeric
@attribute corY numeric
@attribute corZ numeric
@attribute energyX numeric
@attribute energyY numeric
@attribute energyZ numeric
@attribute iqrX numeric
@attribute iqrY numeric
@attribute iqrZ numeric
@attribute madX numeric
@attribute madY numeric
@attribute madZ numeric
@attribute sma numeric
@attribute Class {0,1}

@data
-0.58893,-0.42493,0.072721,-0.50153,-0.6858,-0.40381,0.20101,0.16183,0.53506,-0.48823,-0.87072,-0.78409,-0.86441,-0.99013,-0.97614,-0.68302,-0.47828,0.027926,-0.2895,-0.69506,-0.65404,0.063632,-0.11195,-0.33676,-0.71026,-0.93817,-0.931,-0.92753,-0.95896,-0.9393,-0.91614,-0.96752,-0.97194,-0.78398,0
-0.39307,-0.56273,0.26816,0.53984,-0.089087,-0.026223,-0.85004,-0.23479,0.22584,0.23212,-0.45262,-0.33851,-0.23517,-0.84521,-0.77996,-0.39694,-0.68984,0.16974,-0.21439,-0.34843,-0.21267,-0.015417,-0.35839,-0.30556,-0.65253,-0.76167,-0.67479,-0.030087,-0.63656,-0.41366,0.20223,-0.6172,-0.48337,-0.51761,0
-0.15516,-0.5913,0.12753,-0.32767,-0.30751,-0.29453,-0.22166,0.21892,0.59643,0.41237,-0.77929,-0.78108,0.002454,-0.97319,-0.97548,0.065683,-0.65906,0.14066,-0.20153,-0.54936,-0.60773,-0.31446,-0.26208,-0.13833,-0.64213,-0.87775,-0.91297,0.85712,-0.89123,-0.86326,0.32418,-0.89053,-0.86214,-0.6249,0
-0.49301,-0.48819,-0.83946,-0.43929,-0.51093,-0.16172,-0.066947,0.12534,-0.28006,-0.45403,-0.8304,-0.38283,-0.84612,-0.98367,-0.80833,-0.52008,-0.58958,-0.80342,-0.42056,-0.63757,-0.20218,0.017582,0.64962,0.28496,-0.79859,-0.91672,-0.6664,-0.62285,-0.90557,-0.61899,-0.56768,-0.90539,-0.61431,-0.6593,0
-0.072707,-0.47899,0.77931,-0.40179,-0.68898,-0.34151,0.59653,0.19269,0.7128,-0.6491,-0.8736,-0.78654,-0.93491,-0.99053,-0.97667,-0.15318,-0.56272,0.84191,-0.82986,-0.66067,-0.014721,-0.39558,-0.80558,0.020982,-0.97284,-0.92571,-0.49862,-0.90526,-0.93847,-0.91173,-0.89583,-0.93363,-0.90925,-0.78544,0
0.31509,-0.4656,0.12167,-0.22031,-0.5806,-0.37764,0.68979,0.26664,0.5429,-0.48714,-0.81503,-0.65533,-0.86384,-0.98079,-0.93979,0.4219,-0.5075,0.053424,-0.2535,-0.64469,-0.538,-0.79005,-0.13224,0.21168,-0.68324,-0.91954,-0.88191,-0.26917,-0.83056,-0.55786,-0.82962,-0.87925,-0.69285,-0.73083,0
-0.5144,-0.47302,-0.073161,-0.66343,-0.67394,-0.57459,0.10771,0.34146,0.53112,-0.17679,-0.80441,-0.79563,-0.65526,-0.97866,-0.97859,-0.69967,-0.47828,-0,-0.28998,-0.63491,-0.76744,-0.00968,0.011665,-0.19399,-0.71062,-0.91565,-0.96638,0.20529,-0.85674,-0.77375,-0.4103,-0.90041,-0.81677,-0.84468,0
0.21933,-0.50714,0.20617,-0.29697,-0.61064,-0.34962,0.56626,0.34707,0.49098,-0.41698,-0.81533,-0.60219,-0.82501,-0.98085,-0.91996,0.22804,-0.53593,0.11158,-0.37504,-0.61884,-0.44266,-0.637,-0.18425,0.13695,-0.7697,-0.90905,-0.83182,-0.52864,-0.87159,-0.51769,-0.32391,-0.91741,-0.60036,-0.74537,0
-0.34487,-0.80272,-0.43806,-0.67705,-0.8243,-0.11654,0.3613,-0.41813,0.37375,-0.71136,-0.84755,-0.55201,-0.95533,-0.98662,-0.89866,-0.41361,-0.80427,-0.59179,-0.71346,-0.43489,-0.55704,-0.016338,0.41879,-0.057128,-0.93894,-0.81627,-0.89086,-0.8131,-0.96234,-0.51252,-0.82975,-0.96188,-0.79226,-0.74937,0
-0.039737,-0.90283,0.19306,-0.48788,-0.80373,-0.52941,0.63558,0.000024,0.60978,-0.83284,-0.89212,-0.90369,-0.98416,-0.9929,-0.9951,-0.09074,-0.91792,0.24417,-0.87639,-0.3759,-0.59288,-0.52418,-0.58647,0.003969,-0.98291,-0.77978,-0.90675,-0.98259,-0.99361,-0.96289,-0.98461,-0.99432,-0.96866,-0.79036,0
0.34238,-0.30538,0.48343,-0.32513,-0.69848,-0.38664,0.8868,0.64079,0.79856,-0.95007,-0.95745,-0.90602,-0.99816,-0.99857,-0.99533,0.3196,-0.42698,0.48719,-0.27404,-0.80254,-0.31666,-0.65717,-0.31217,0.55727,-0.69881,-0.96995,-0.75213,-0.96074,-0.96426,-0.9511,-0.95435,-0.96398,-0.95116,-0.64453,0
0.20544,-0.67704,0.4172,-0.46488,-0.84253,-0.56464,0.83097,0.42004,0.73407,-0.98016,-0.96515,-0.91406,-0.99956,-0.99896,-0.99607,0.17808,-0.72688,0.47438,-0.50155,-0.54397,-0.38117,-0.80809,-0.69589,0.33684,-0.84528,-0.87513,-0.79485,-0.98205,-0.98974,-0.91086,-0.98487,-0.98942,-0.95809,-0.59633,0
0.31117,-0.38237,0.49298,-0.38137,-0.68344,-0.50502,0.9067,0.54072,0.75215,-0.96421,-0.92732,-0.90101,-0.99893,-0.99648,-0.99483,0.2875,-0.48463,0.51858,-0.32609,-0.74241,-0.30686,-0.70323,-0.42468,0.52461,-0.73651,-0.95351,-0.74529,-0.94993,-0.94021,-0.88119,-0.94427,-0.94134,-0.8779,-0.62701,0
-0.38596,-0.67393,0.37479,-0.44699,-0.46106,-0.40291,-0.06295,-0.28344,0.15108,-0.68188,-0.81598,-0.77355,-0.94614,-0.98098,-0.97379,-0.39278,-0.75375,0.44184,-0.64494,-0.51133,-0.38785,-0.010988,-0.6344,-0.35015,-0.91317,-0.85869,-0.79905,-0.98637,-0.99488,-0.98422,-0.98461,-0.99572,-0.98597,-0.69485,0
0.072099,-0.61158,-0.2914,-0.31316,-0.68105,-0.42008,0.55668,0.18244,0.18254,-0.30802,-0.81153,-0.33159,-0.75507,-0.9801,-0.77535,-0.058635,-0.63219,-0.027926,-0.51759,-0.55037,-0.37627,-0.5296,0.12476,-0.0851,-0.85381,-0.87824,-0.79175,-0.055665,-0.87692,-0.12888,-0.082803,-0.87147,-0.63362,-0.76423,0
0.043059,-0.50174,-0.24947,-0.2842,-0.65096,-0.59081,0.14197,0.13096,0.46424,0.30024,-0.79214,-0.73827,-0.14914,-0.97606,-0.9651,0.36841,-0.53985,-0.30106,-0.21182,-0.61115,-0.77462,-0.39199,0.13647,-0.037032,-0.65047,-0.90581,-0.9682,0.75196,-0.95279,-0.74191,-0.70276,-0.95269,-0.77312,-0.74909,0
-0.047928,-0.60365,-0.1607,-0.10268,-0.29883,-0.039759,0.27437,0.10478,0.35958,0.26953,-0.71058,-0.45827,-0.1885,-0.95502,-0.85214,0.14299,-0.84214,-0.26275,-0.27326,-0.50673,-0.49402,-0.32973,0.14361,-0.1022,-0.69823,-0.85629,-0.8599,0.99502,-0.82084,-0.3351,0.21736,-0.91527,-0.49394,-0.61353,0
-0.3727,-0.63235,-0.14373,-0.2382,-0.54973,-0.3641,-0.16345,-0.42937,0.40205,0.10018,-0.6498,-0.57822,-0.38876,-0.93506,-0.9101,-0.50043,-0.60615,-0.12209,-0.30279,-0.45473,-0.60551,-0.094768,0.022079,-0.12147,-0.71994,-0.82781,-0.91206,0.14597,-0.81623,-0.60339,0.28357,-0.8319,-0.59007,-0.69821,0
0.1787,-0.65023,0.12375,-0.28167,-0.50304,-0.43725,0.61647,-0.049596,0.54134,-0.45903,-0.7218,-0.83426,-0.84886,-0.9583,-0.98583,0.20661,-0.62271,0.11978,-0.44605,-0.4848,-0.63501,-0.77107,-0.31554,0.11508,-0.81393,-0.84459,-0.92385,-0.20597,-0.78847,-0.84008,-0.17901,-0.7422,-0.85513,-0.75381,0
-0.40755,-0.50724,0.2393,-0.28336,-0.32098,-0.24756,-0.004746,0.079534,0.48548,-0.032641,-0.69331,-0.68363,-0.52602,-0.94972,-0.9492,-0.56169,-0.52724,0.26506,-0.34296,-0.55139,-0.46562,-0.007541,-0.27918,-0.23408,-0.7482,-0.87873,-0.84469,-0.15146,-0.73504,-0.7746,-0.18657,-0.74083,-0.77139,-0.69794,0
0.32005,-0.52777,0.29164,-0.32936,-0.58138,-0.50861,0.85807,0.25071,0.5146,-0.88906,-0.84765,-0.79455,-0.99257,-0.98663,-0.97837,0.29762,-0.61245,0.30464,-0.30818,-0.61906,-0.4703,-0.83832,-0.42593,0.37023,-0.72382,-0.90914,-0.84725,-0.88611,-0.90943,-0.83662,-0.87049,-0.91029,-0.83071,-0.62247,0
0.066739,-0.59579,0.38044,-0.27059,-0.57423,-0.098477,0.27678,0.16559,0.62074,-0.25138,-0.80296,-0.67844,-0.71408,-0.97836,-0.94753,0.10434,-0.65906,0.32443,-0.49547,-0.55703,-0.34518,-0.50582,-0.5595,0.11994,-0.84198,-0.88143,-0.77152,-0.19297,-0.87689,-0.6736,-0.1181,-0.87571,-0.72246,-0.69478,0
-0.63181,-0.33251,-0.062142,-0.56289,-0.51411,-0.41829,-0.19056,0.4425,0.31,-0.37337,-0.83375,-0.61157,-0.79842,-0.98427,-0.92367,-0.64791,-0.43411,-0.005828,-0.19469,-0.73506,-0.60947,0.020634,0.027345,-0.2468,-0.63654,-0.95127,-0.91369,-0.57047,-0.87109,-0.58501,-0.51446,-0.87637,-0.5795,-0.77949,0
0.2342,-0.12579,0.57326,-0.18619,-0.34313,0.002688,0.48728,0.20114,0.63019,-0.38895,-0.78959,-0.66186,-0.80814,-0.97551,-0.94203,0.34757,-0.31016,0.49417,-0.34492,-0.80393,-0.1693,-0.47364,-0.086708,0.52221,-0.74954,-0.97029,-0.63943,-0.22828,-0.93227,-0.61336,-0.82219,-0.9336,-0.79226,-0.73317,0
0.33375,-0.09528,0.63014,-0.38306,-0.67629,-0.32344,0.59815,0.66047,0.88199,-0.74294,-0.96998,-0.91044,-0.96423,-0.99918,-0.99575,0.33152,-0.25647,0.62324,-0.27185,-0.94848,-0.17632,-0.46543,-0.085535,0.6742,-0.69717,-0.99569,-0.64528,-1,-1,-1,-1,-1,-1,-0.69954,0
-0.055165,-0.74305,0.41636,-0.46572,-0.69055,-0.42824,0.45139,0.30121,0.56102,-0.57328,-0.87427,-0.67852,-0.90486,-0.99062,-0.94756,-0.1157,-0.78062,0.51396,-0.77446,-0.48249,-0.31421,-0.47686,-0.78343,-0.025991,-0.95826,-0.84333,-0.75043,-0.43822,-0.91369,-0.80867,-0.27322,-0.91874,-0.81157,-0.7312,0
-0.55184,-0.65894,0.060501,-0.6532,-0.6589,-0.53752,-0.047004,0.24324,0.50516,-0.42582,-0.81347,-0.68262,-0.83017,-0.98049,-0.94887,-0.58131,-0.69853,0.11274,-0.32733,-0.52025,-0.59881,0.17567,-0.2671,-0.29006,-0.73738,-0.86329,-0.90926,-0.37603,-0.88009,-0.63259,-0.35191,-0.87497,-0.63872,-0.68106,0
-0.19493,-0.76008,-0.16221,-0.33025,-0.66208,-0.30628,0.17628,-0.007497,0.44929,-0.083819,-0.79739,-0.66535,-0.57425,-0.97719,-0.94321,-0.39576,-0.74271,-0.11747,-0.5055,-0.44781,-0.69239,-0.26087,0.059984,-0.071542,-0.8474,-0.82383,-0.94436,0.11482,-0.90133,-0.70083,-0.46364,-0.90181,-0.69294,-0.74863,0
-0.018294,-0.89564,0.068738,-0.39672,-0.50304,-0.43725,0.67467,0.1188,0.65381,-0.72589,-0.80399,-0.85826,-0.95955,-0.97858,-0.98958,-0.085958,-0.95426,0.058159,-0.80854,-0.35951,-0.69313,-0.56458,-0.38545,-0.014536,-0.96756,-0.76905,-0.9446,-0.98634,-0.99505,-0.95942,-0.98461,-0.99572,-0.97194,-0.82281,0
0.087438,-0.70715,0.16021,-0.48361,-0.9098,-0.64231,0.74404,0.31806,0.74036,-0.95823,-0.92924,-0.97267,-0.99863,-0.99664,-0.99955,0.060343,-0.72219,0.1814,-0.69599,-0.51838,-0.63433,-0.66325,-0.39232,0.088883,-0.93278,-0.86233,-0.92358,-1,-1,-1,-1,-1,-1,-0.79614,0
-0.093208,-0.97632,-0.10905,-0.63616,-0.97942,-0.73174,0.60211,0.36295,0.57437,-0.78415,-0.98286,-0.85499,-0.97436,-0.99964,-0.9891,-0.063355,-0.97791,-0.17909,-0.91949,-0.33429,-0.83377,-0.43751,-0.11155,-0.084379,-0.99046,-0.75207,-0.98131,-0.66655,-0.97311,-0.78851,-0.88827,-0.98024,-0.93731,-0.89263,0
-0.069737,-0.38789,0.88456,-0.44103,-0.68026,-0.33156,0.58858,0.35831,0.68922,-0.76947,-0.88167,-0.80286,-0.97094,-0.99161,-0.98006,-0.1157,-0.45776,0.93377,-0.88876,-0.72345,0.082121,-0.38817,-0.71454,0.068451,-0.98525,-0.94762,-0.39862,-0.84195,-0.93067,-0.92229,-0.83479,-0.94562,-0.92155,-0.78777,0
-0.0484,-0.62278,-0.049372,-0.27397,-0.50539,-0.46979,0.086973,0.13189,0.26124,0.19325,-0.7868,-0.55689,-0.28221,-0.97489,-0.90084,0.15069,-0.68823,0.14066,-0.31986,-0.53283,-0.55581,-0.40374,0.002584,-0.074716,-0.73213,-0.86963,-0.8903,0.47726,-0.86628,-0.47228,-0.23487,-0.86513,-0.54105,-0.65095,0
0.23837,-0.60528,0.39012,-0.30636,-0.68976,-0.43367,0.79266,0.36763,0.49493,-0.83881,-0.91859,-0.74362,-0.9852,-0.99571,-0.9665,0.19891,-0.68114,0.46746,-0.43828,-0.58726,-0.36343,-0.80728,-0.5836,0.36049,-0.80932,-0.89539,-0.78351,-0.89746,-0.95843,-0.89733,-0.88575,-0.96047,-0.89868,-0.61057,0
0.088134,-0.822,0.31261,-0.54585,-0.91852,-0.62062,0.77514,0.41535,0.76394,-0.97722,-0.98141,-0.97463,-0.99947,-0.9996,-0.99961,0.063883,-0.84374,0.34064,-0.69568,-0.44305,-0.48739,-0.71493,-0.70115,0.15395,-0.93267,-0.82106,-0.85642,-0.97166,-0.98638,-0.97683,-0.96444,-0.98724,-0.97731,-0.66831,0
0.21218,-0.34532,0.26064,-0.29101,-0.617,-0.33156,0.58858,0.35831,0.48626,-0.32985,-0.86273,-0.40269,-0.77001,-0.98898,-0.82042,0.24707,-0.40803,0.034847,-0.3551,-0.74232,-0.266,-0.57442,-0.18917,0.004613,-0.75645,-0.95348,-0.71576,-0.046789,-0.91635,-0.17961,-0.12049,-0.9548,-0.31435,-0.79742,0
-0.25844,-0.37147,-0.11079,-0.30978,-0.45395,-0.16351,0.090137,0.2133,0.36587,0.11935,-0.66671,-0.53097,-0.36752,-0.94098,-0.88898,-0.48077,-0.56432,-0.060466,-0.36096,-0.60158,-0.55262,-0.33518,0.038872,-0.088661,-0.76038,-0.9017,-0.88881,0.51772,-0.74159,-0.48978,0.15406,-0.76838,-0.54287,-0.75706,0
-0.048678,-0.71069,0.24397,-0.53646,-0.77129,-0.45442,0.66347,0.30405,0.67821,-0.80586,-0.92761,-0.82049,-0.97902,-0.99651,-0.98342,-0.12402,-0.76166,0.16282,-0.87897,-0.51565,-0.52238,-0.47681,-0.50607,-0.004768,-0.98341,-0.86092,-0.87431,-0.76843,-1,-0.82008,-1,-1,-1,-0.87888,0
0.094823,-0.79493,-0.22223,-0.34729,-0.63754,-0.48965,0.44103,-0.12911,0.26437,-0.43966,-0.7642,-0.51907,-0.83809,-0.9696,-0.88331,0.12753,-0.84135,-0.003521,-0.55022,-0.41253,-0.55971,-0.7358,0.11893,-0.080285,-0.87044,-0.80282,-0.89209,-0.56239,-0.85709,-0.596,-0.57046,-0.85875,-0.74688,-0.6971,0
0.31531,-0.22592,0.3791,-0.15981,-0.4761,-0.24393,0.59257,0.43313,0.66326,-0.53386,-0.82796,-0.69484,-0.887,-0.98323,-0.9527,0.38027,-0.36464,0.30233,-0.26411,-0.79064,-0.35357,-0.59447,-0.1574,0.43792,-0.69133,-0.96696,-0.77707,-0.68006,-0.91848,-0.76579,-0.89331,-0.92298,-0.79062,-0.73982,0
0.028097,-0.46638,0.70451,-0.24759,-0.62171,-0.33608,0.60773,0.29374,0.6656,-0.55646,-0.87173,-0.70749,-0.89743,-0.99027,-0.95651,-0.094279,-0.56272,0.85114,-0.6808,-0.66832,-0.065198,-0.48959,-0.70505,0.18756,-0.9272,-0.92858,-0.54715,-0.59018,-0.99133,-0.92829,-0.97452,-0.99292,-0.98251,-0.74154,0
0.33457,-0.45443,0.25021,-0.35494,-0.65493,-0.43093,0.69299,0.36392,0.69316,-0.76689,-0.91692,-0.86322,-0.97032,-0.99555,-0.99028,0.33447,-0.56193,0.24186,-0.27345,-0.69056,-0.52959,-0.78479,-0.28926,0.35094,-0.69837,-0.93661,-0.87785,-0.94993,-0.9795,-0.87592,-0.94148,-0.98094,-0.87426,-0.67274,0
