@relation features_normt

@attribute meanX numeric
@attribute meanY numeric
@attribute meanZ numeric
@attribute maxX numeric
@attribute maxY numeric
@attribute maxZ numeric
@attribute minX numeric
@attribute minY numeric
@attribute minZ numeric
@attribute stdX numeric
@attribute stdY numeric
@attribute stdZ numeric
@attribute varX numeric
@attribute varY numeric
@attribute varZ numeric
@attribute medianX numeric
@attribute medianY numeric
@attribute medianZ numeric
@attribute rmsX numeric
@attribute rmsY numeric
@attribute rmsZ numeric
@attribute corX numeric
@attribute corY numeric
@attribute corZ numeric
@attribute energyX numeric
@attribute energyY numeric
@attribute energyZ numeric
@attribute iqrX numeric
@attribute iqrY numeric
@attribute iqrZ numeric
@attribute madX numeric
@attribute madY numeric
@attribute madZ numeric
@attribute sma numeric
@attribute Class {0,1}

@data
-0.58767,-0.42527,0.072006,-0.50257,-0.70582,-0.4152,0.20603,0.19179,0.56232,-0.50152,-0.87973,-0.80741,-0.86259,-0.99034,-0.97662,-0.6779,-0.47341,0.029202,-0.29342,-0.6949,-0.66201,0.054003,-0.10639,-0.33836,-0.71155,-0.93817,-0.93166,-0.91278,-0.9572,-0.92635,-0.89688,-0.95977,-0.94246,-0.79185,0
-0.39412,-0.56221,0.26646,0.51926,-0.096696,-0.02908,-0.84463,-0.21642,0.22792,0.22644,-0.45872,-0.35556,-0.23122,-0.84505,-0.78022,-0.39663,-0.68569,0.17268,-0.21596,-0.34785,-0.21863,-0.021454,-0.35394,-0.30859,-0.65214,-0.76137,-0.67571,-0.037995,-0.64203,-0.4172,0.22228,-0.62041,-0.49719,-0.52279,0
-0.15458,-0.59118,0.12931,-0.34621,-0.32111,-0.30396,-0.20932,0.23028,0.60748,0.40951,-0.78618,-0.80303,0.008009,-0.97305,-0.97567,0.068017,-0.64634,0.13341,-0.20361,-0.54861,-0.61272,-0.3239,-0.25939,-0.14167,-0.64216,-0.87746,-0.91253,0.84519,-0.89052,-0.86809,0.33013,-0.8818,-0.87069,-0.63009,0
-0.49253,-0.49054,-0.83958,-0.45757,-0.54643,-0.18031,-0.037587,0.12901,-0.26149,-0.46872,-0.83586,-0.40275,-0.84514,-0.9833,-0.81002,-0.51665,-0.57728,-0.81317,-0.4239,-0.63463,-0.20783,0.011597,0.66144,0.27939,-0.79921,-0.9156,-0.66711,-0.62957,-0.91107,-0.61656,-0.56175,-0.90569,-0.6255,-0.66357,0
-0.071772,-0.47953,0.77762,-0.4079,-0.70112,-0.33881,0.58688,0.18379,0.72782,-0.66436,-0.8815,-0.80477,-0.93384,-0.99059,-0.97605,-0.15278,-0.53961,0.85017,-0.8306,-0.65993,-0.019184,-0.40525,-0.79945,0.018791,-0.97248,-0.92549,-0.49903,-0.88423,-0.94061,-0.92084,-0.89491,-0.93485,-0.92265,-0.78964,0
0.31409,-0.46625,0.12137,-0.22827,-0.60066,-0.39989,0.68666,0.26068,0.55965,-0.50014,-0.82223,-0.67702,-0.86187,-0.98073,-0.94032,0.41512,-0.48607,0.059597,-0.25622,-0.64359,-0.5451,-0.79949,-0.12682,0.20736,-0.6837,-0.91917,-0.88249,-0.28067,-0.84322,-0.57457,-0.78009,-0.88147,-0.68826,-0.73714,0
-0.51406,-0.47435,-0.072497,-0.66134,-0.69397,-0.59156,0.10423,0.34959,0.53494,-0.18994,-0.81075,-0.81433,-0.65493,-0.97842,-0.97809,-0.69524,-0.46988,0.00107,-0.29368,-0.63297,-0.77149,-0.017607,0.014877,-0.19716,-0.71174,-0.91493,-0.9658,0.18548,-0.85447,-0.77474,-0.43312,-0.89684,-0.81325,-0.8492,0
0.21905,-0.5048,0.20274,-0.3051,-0.63069,-0.37738,0.55168,0.36118,0.50785,-0.43172,-0.8227,-0.62438,-0.82421,-0.98082,-0.92098,0.23449,-0.52391,0.10179,-0.37753,-0.61971,-0.45232,-0.64412,-0.17374,0.12994,-0.76984,-0.90948,-0.83413,-0.51656,-0.88193,-0.50761,-0.35907,-0.91558,-0.62073,-0.75364,0
-0.3461,-0.80221,-0.43898,-0.67852,-0.84428,-0.11313,0.36775,-0.39022,0.37616,-0.73168,-0.85523,-0.56707,-0.95582,-0.98664,-0.89687,-0.40852,-0.7889,-0.59154,-0.71555,-0.43467,-0.55856,-0.023096,0.42506,-0.05995,-0.93881,-0.81623,-0.88882,-0.81784,-0.96515,-0.50548,-0.81941,-0.95955,-0.80001,-0.75366,0
-0.040627,-0.90189,0.19183,-0.50604,-0.81954,-0.55825,0.64342,0.016677,0.62638,-0.8536,-0.89797,-0.92303,-0.98451,-0.99272,-0.99498,-0.088698,-0.90388,0.24184,-0.88076,-0.37563,-0.59977,-0.53153,-0.57766,-0.000663,-0.98336,-0.77969,-0.90712,-0.95523,-0.98973,-0.95894,-0.95081,-0.98437,-0.95768,-0.79809,0
0.34169,-0.30613,0.4807,-0.35322,-0.72644,-0.39697,0.8682,0.64886,0.80811,-0.95978,-0.96597,-0.92683,-0.9978,-0.9987,-0.99537,0.31632,-0.41553,0.49124,-0.27677,-0.80191,-0.3242,-0.66701,-0.30711,0.55182,-0.69924,-0.96983,-0.75376,-0.94633,-0.96573,-0.94885,-0.937,-0.96044,-0.9493,-0.65117,0
