TimeStamp,X-Axis,Y-Axis,Z-Axis
1619708817.12,7.546,-6.914,2.432
1619708817.131,7.546,-6.914,2.432
1619708817.14,7.546,-6.895,2.413
1619708817.15,7.565,-6.914,2.413
1619708817.161,7.585,-6.914,2.394
1619708817.17,7.565,-6.914,2.394
1619708817.18,7.565,-6.895,2.375
1619708817.192,7.565,-6.895,2.336
1619708817.201,7.565,-6.895,2.336
1619708817.21,7.546,-6.895,2.336
1619708817.22,7.565,-6.876,2.317
1619708817.231,7.546,-6.857,2.279
1619708817.24,7.546,-6.876,2.298
1619708817.251,7.546,-6.857,2.298
1619708817.261,7.546,-6.876,2.317
1619708817.271,7.565,-6.895,2.317
1619708817.28,7.565,-6.914,2.336
1619708817.291,7.585,-6.933,2.355
1619708817.301,7.604,-6.953,2.375
1619708817.311,7.623,-6.953,2.394
1619708817.321,7.604,-6.953,2.413
1619708817.331,7.585,-6.953,2.375
1619708817.341,7.585,-6.933,2.394
1619708817.35,7.565,-6.933,2.375
1619708817.361,7.546,-6.933,2.336
1619708817.379,7.546,-6.895,2.355
1619708817.39,7.546,-6.895,2.355
1619708817.4,7.546,-6.895,2.355
1619708817.405,7.546,-6.895,2.336
1619708817.413,7.585,-6.895,2.375
1619708817.421,7.565,-6.895,2.355
1619708817.43,7.565,-6.914,2.375
1619708817.441,7.585,-6.914,2.355
1619708817.45,7.585,-6.933,2.355
1619708817.461,7.585,-6.933,2.375
1619708817.482,7.565,-6.933,2.355
1619708817.488,7.585,-6.914,2.375
1619708817.494,7.585,-6.933,2.355
1619708817.501,7.565,-6.914,2.375
1619708817.511,7.546,-6.914,2.336
1619708817.52,7.527,-6.914,2.317
1619708817.531,7.508,-6.895,2.317
1619708817.54,7.508,-6.914,2.298
1619708817.551,7.508,-6.914,2.336
1619708817.559,7.546,-6.914,2.355
1619708817.571,7.565,-6.914,2.355
1619708817.579,7.585,-6.933,2.336
1619708817.589,7.604,-6.953,2.336
1619708817.598,7.604,-6.972,2.317
1619708817.609,7.604,-6.972,2.355
1619708817.619,7.604,-6.972,2.375
1619708817.629,7.604,-6.953,2.375
1619708817.639,7.565,-6.953,2.336
1619708817.65,7.546,-6.895,2.317
1619708817.659,7.527,-6.895,2.317
1619708817.67,7.508,-6.895,2.279
1619708817.681,7.527,-6.895,2.279
1619708817.69,7.546,-6.895,2.298
1619708817.7,7.565,-6.895,2.298
1619708817.711,7.565,-6.914,2.298
1619708817.721,7.565,-6.914,2.317
1619708817.731,7.585,-6.933,2.336
1619708817.74,7.585,-6.953,2.317
1619708817.75,7.585,-6.953,2.336
1619708817.76,7.565,-6.953,2.317
1619708817.77,7.585,-6.933,2.336
1619708817.781,7.565,-6.933,2.355
1619708817.792,7.565,-6.933,2.375
1619708817.801,7.585,-6.953,2.355
1619708817.81,7.565,-6.953,2.375
1619708817.821,7.565,-6.933,2.355
1619708817.831,7.546,-6.914,2.355
1619708817.841,7.527,-6.895,2.336
1619708817.851,7.527,-6.876,2.317
1619708817.861,7.527,-6.895,2.336
1619708817.871,7.527,-6.914,2.336
1619708817.881,7.527,-6.933,2.336
1619708817.89,7.527,-6.953,2.355
1619708817.9,7.527,-6.953,2.375
1619708817.911,7.565,-6.933,2.375
1619708817.92,7.565,-6.933,2.394
1619708817.931,7.546,-6.895,2.355
1619708817.941,7.527,-6.895,2.355
1619708817.953,7.546,-6.876,2.355
1619708817.96,7.546,-6.876,2.394
1619708817.97,7.527,-6.895,2.394
1619708817.98,7.565,-6.933,2.394
1619708817.99,7.565,-6.933,2.375
1619708818.001,7.546,-6.933,2.413
1619708818.01,7.565,-6.933,2.375
1619708818.021,7.585,-6.914,2.375
1619708818.03,7.565,-6.914,2.355
1619708818.041,7.565,-6.914,2.355
1619708818.051,7.565,-6.895,2.355
1619708818.06,7.565,-6.876,2.355
1619708818.07,7.565,-6.876,2.336
1619708818.081,7.565,-6.876,2.355
1619708818.09,7.565,-6.876,2.317
1619708818.1,7.546,-6.895,2.317
1619708818.111,7.546,-6.895,2.336
1619708818.12,7.546,-6.876,2.375
1619708818.131,7.565,-6.895,2.375
1619708818.141,7.565,-6.895,2.355
1619708818.151,7.546,-6.895,2.336
1619708818.16,7.546,-6.895,2.336
1619708818.171,7.527,-6.895,2.336
1619708818.18,7.527,-6.857,2.317
1619708818.19,7.546,-6.857,2.298
1619708818.201,7.527,-6.895,2.279
1619708818.21,7.508,-6.895,2.241
1619708818.22,7.489,-6.857,2.221
1619708818.231,7.489,-6.818,2.241
1619708818.241,7.489,-6.818,2.241
1619708818.252,7.47,-6.838,2.183
1619708818.261,7.489,-6.78,2.202
1619708818.271,7.489,-6.742,2.221
1619708818.281,7.451,-6.857,2.279
1619708818.291,7.47,-6.761,2.279
1619708818.3,7.431,-6.742,2.26
1619708818.31,7.412,-6.742,2.183
