TimeStamp,X-Axis,Y-Axis,Z-Axis
1619709552.291,5.497,-9.213,11.454
1619709552.301,6.646,-7.47,11.166
1619709552.31,5.554,-6.78,11.186
1619709552.321,3.888,-6.512,10.937
1619709552.33,2.911,-6.378,9.711
1619709552.341,2.624,-6.416,8.753
1619709552.35,2.317,-6.761,7.565
1619709552.359,2.03,-7.431,5.612
1619709552.371,1.551,-8.868,4.099
1619709552.38,0.976,-9.826,3.984
1619709552.39,-0.383,-8.791,5.707
1619709552.4,-1.283,-6.397,4.462
1619709552.411,-1.072,-4.213,3.045
1619709552.422,-1.551,-3.352,4.233
1619709552.433,-1.819,-2.892,5.401
1619709552.44,-0.919,-2.413,4.98
1619709552.451,-0.095,-2.815,4.367
1619709552.46,-0.536,-4.194,4.75
1619709552.47,-1.302,-5.267,5.363
1619709552.48,-2.126,-5.65,5.478
1619709552.49,-3.102,-5.861,5.784
1619709552.501,-3.773,-6.033,6.186
1619709552.51,-3.735,-6.263,6.052
1619709552.52,-3.275,-6.205,5.516
1619709552.53,-3.102,-6.11,4.96
1619709552.54,-3.122,-5.918,4.999
1619709552.55,-3.141,-5.497,4.98
1619709552.56,-3.447,-5.037,4.788
1619709552.57,-3.945,-4.616,4.846
1619709552.58,-5.037,-4.673,4.75
1619709552.59,-5.976,-4.903,4.654
1619709552.6,-6.474,-4.884,4.424
1619709552.614,-6.435,-4.271,5.171
1619709552.622,-6.34,-3.428,6.129
1619709552.633,-6.857,-2.968,6.838
1619709552.639,-7.316,-2.643,7.087
1619709552.65,-7.489,-2.164,6.646
1619709552.659,-7.47,-1.8,6.263
1619709552.669,-7.585,-1.379,6.397
1619709552.68,-7.949,-1.053,6.646
1619709552.69,-8.542,-1.091,7.623
1619709552.7,-9.002,-1.723,8.772
1619709552.71,-8.849,-2.355,10.113
1619709552.72,-9.232,-2.681,13.101
1619709552.73,-9.73,-1.283,15.438
1619709552.74,-8.025,2.777,15.016
1619709552.751,-5.554,6.205,14.614
1619709552.761,-4.539,6.052,13.235
1619709552.771,-3.562,2.451,9.653
1619709552.781,-2.624,-2.547,6.435
1619709552.791,-2.298,-5.037,4.079
1619709552.801,-1.857,-4.29,2.662
1619709552.811,-1.321,-2.528,1.57
1619709552.821,-1.283,-2.279,0.114
1619709552.83,-1.436,-3.332,-1.149
1619709552.841,-2.183,-4.443,-1.589
1619709552.851,-4.271,-3.984,0.21
1619709552.861,-6.454,-0.766,2.7
1619709552.87,-6.857,3.562,4.003
1619709552.88,-5.382,7.91,4.079
1619709552.892,-3.62,11.894,4.06
1619709552.901,-3.428,15.61,2.739
1619709552.91,-6.589,16.3,1.915
1619709552.92,-14.059,11.032,1.168
1619709552.931,-22.927,0.153,0.612
1619709552.941,-28.999,-14.959,0.632
1619709552.951,-25.858,-27.16,2.643
1619709552.961,-14.576,-23.023,2.796
1619709552.971,-9.385,-9.5,1.13
1619709552.98,-8.389,-1.034,-0.383
1619709552.99,-3.715,3.562,-3.045
1619709553.001,2.509,3.39,-4.348
1619709553.01,1.953,-3.524,1.877
1619709553.024,-3.237,-8.772,9.232
1619709553.032,-6.55,-4.405,12.967
1619709553.043,-8.408,1.532,11.684
1619709553.05,-8.332,2.528,3.275
1619709553.06,-7.029,0.555,-3.869
1619709553.07,-7.355,-5.516,-8.561
1619709553.08,-10.381,-15.208,-11.76
1619709553.091,-13.733,-17.717,-12.89
1619709553.101,-16.376,-11.358,-9.462
1619709553.111,-16.261,-5.631,0.191
1619709553.12,-12.411,-3.83,6.723
1619709553.13,-8.025,-1.838,6.474
1619709553.14,-4.501,-0.076,4.022
1619709553.15,-3.505,-2.241,2.93
1619709553.16,-3.869,-4.386,1.896
1619709553.17,-6.263,-3.102,1.245
1619709553.18,-10.477,1.685,5.88
1619709553.19,-13.733,2.643,-3.064
1619709553.2,-20.859,-2.911,-8.293
1619709553.21,-15.112,-5.918,-8.6
1619709553.22,-1.723,-6.646,-7.738
1619709553.23,-4.099,-2.853,1.206
1619709553.241,-7.795,-0.344,-2.739
1619709553.25,-7.968,-5.593,-7.7
1619709553.261,-7.91,-8.14,-3.16
1619709553.27,-9.749,-5.267,3.275
1619709553.282,-13.637,-2.949,1.857
1619709553.291,-11.052,-1.168,-1.264
1619709553.3,-8.083,-1.321,0.804
1619709553.31,-10.63,-2.087,2.183
1619709553.321,-11.147,-3.964,-2.949
1619709553.331,-7.048,-3.964,-5.88
1619709553.341,-6.148,-2.662,-5.075
1619709553.351,-8.025,-0.689,-4.118
1619709553.361,-9.941,-0.038,-3.562
1619709553.37,-10.094,-1.225,-3.696
1619709553.381,-10.515,-2.566,-3.447
1619709553.391,-11.281,-2.815,-3.198
