TimeStamp,X-Axis,Y-Axis,Z-Axis
2021-04-29 15:36:48.45,9.155,-2.758,2.662
2021-04-29 15:36:48.470,9.213,-2.892,2.566
2021-04-29 15:36:48.480,9.289,-3.007,2.509
2021-04-29 15:36:48.490,9.366,-3.064,2.547
2021-04-29 15:36:48.501,9.577,-3.102,2.49
2021-04-29 15:36:48.510,9.787,-3.141,2.432
2021-04-29 15:36:48.520,9.826,-3.102,2.375
2021-04-29 15:36:48.532,9.902,-3.083,2.298
2021-04-29 15:36:48.541,10.036,-3.102,2.241
2021-04-29 15:36:48.551,10.094,-3.141,2.202
2021-04-29 15:36:48.561,10.017,-3.16,2.145
2021-04-29 15:36:48.570,9.902,-3.16,2.068
2021-04-29 15:36:48.581,9.807,-3.141,1.972
2021-04-29 15:36:48.590,9.692,-3.16,1.896
2021-04-29 15:36:48.600,9.672,-3.198,1.781
2021-04-29 15:36:48.611,9.826,-3.198,1.666
2021-04-29 15:36:48.620,9.941,-3.256,1.57
2021-04-29 15:36:48.630,9.998,-3.332,1.494
2021-04-29 15:36:48.641,10.075,-3.39,1.436
2021-04-29 15:36:48.650,10.17,-3.466,1.398
2021-04-29 15:36:48.660,10.381,-3.562,1.34
2021-04-29 15:36:48.670,10.63,-3.62,1.283
2021-04-29 15:36:48.680,10.822,-3.658,1.245
2021-04-29 15:36:48.690,10.86,-3.677,1.206
2021-04-29 15:36:48.701,10.803,-3.696,1.187
2021-04-29 15:36:48.712,10.63,-3.658,1.187
2021-04-29 15:36:48.721,10.439,-3.62,1.225
2021-04-29 15:36:48.732,10.324,-3.562,1.206
2021-04-29 15:36:48.741,10.285,-3.562,1.187
2021-04-29 15:36:48.750,10.324,-3.562,1.225
2021-04-29 15:36:48.760,10.4,-3.524,1.187
2021-04-29 15:36:48.771,10.419,-3.486,1.168
2021-04-29 15:36:48.780,10.439,-3.409,1.149
2021-04-29 15:36:48.790,10.4,-3.294,1.187
2021-04-29 15:36:48.801,10.285,-3.179,1.187
2021-04-29 15:36:48.811,10.075,-3.083,1.206
2021-04-29 15:36:48.821,9.864,-3.026,1.225
2021-04-29 15:36:48.830,9.692,-3.007,1.245
2021-04-29 15:36:48.842,9.519,-3.045,1.245
2021-04-29 15:36:48.850,9.423,-3.102,1.245
2021-04-29 15:36:48.864,9.385,-3.16,1.264
2021-04-29 15:36:48.872,9.404,-3.16,1.225
2021-04-29 15:36:48.880,9.366,-3.16,1.225
2021-04-29 15:36:48.890,9.232,-3.217,1.245
2021-04-29 15:36:48.900,9.174,-3.275,1.225
2021-04-29 15:36:48.911,9.174,-3.294,1.245
2021-04-29 15:36:48.921,9.251,-3.332,1.321
2021-04-29 15:36:48.930,9.251,-3.332,1.321
2021-04-29 15:36:48.942,9.347,-3.428,1.34
2021-04-29 15:36:48.951,9.5,-3.466,1.321
2021-04-29 15:36:48.960,9.577,-3.466,1.321
2021-04-29 15:36:48.970,9.596,-3.428,1.34
2021-04-29 15:36:48.981,9.615,-3.409,1.379
2021-04-29 15:36:48.990,9.672,-3.447,1.417
2021-04-29 15:36:49.000,9.768,-3.505,1.474
2021-04-29 15:36:49.011,9.807,-3.581,1.494
2021-04-29 15:36:49.020,9.787,-3.658,1.551
2021-04-29 15:36:49.030,9.672,-3.658,1.628
2021-04-29 15:36:49.042,9.634,-3.658,1.628
2021-04-29 15:36:49.051,9.653,-3.677,1.628
2021-04-29 15:36:49.061,9.672,-3.658,1.628
2021-04-29 15:36:49.072,9.672,-3.639,1.628
2021-04-29 15:36:49.081,9.634,-3.601,1.647
2021-04-29 15:36:49.090,9.615,-3.601,1.685
2021-04-29 15:36:49.100,9.615,-3.562,1.723
2021-04-29 15:36:49.111,9.653,-3.543,1.762
2021-04-29 15:36:49.121,9.807,-3.524,1.762
2021-04-29 15:36:49.131,10.017,-3.505,1.647
2021-04-29 15:36:49.140,10.151,-3.524,1.513
2021-04-29 15:36:49.151,10.439,-3.562,1.417
2021-04-29 15:36:49.161,10.975,-3.62,1.379
2021-04-29 15:36:49.171,11.626,-3.658,1.34
2021-04-29 15:36:49.181,12.028,-3.715,1.417
2021-04-29 15:36:49.191,11.933,-3.735,1.513
2021-04-29 15:36:49.201,11.301,-3.62,1.628
2021-04-29 15:36:49.211,10.534,-3.447,1.647
2021-04-29 15:36:49.221,9.864,-3.428,1.494
2021-04-29 15:36:49.231,9.289,-3.639,1.34
2021-04-29 15:36:49.241,8.925,-3.869,1.168
2021-04-29 15:36:49.251,8.81,-4.003,1.072
2021-04-29 15:36:49.261,8.925,-4.079,1.072
2021-04-29 15:36:49.271,9.079,-4.099,1.13
2021-04-29 15:36:49.281,9.366,-4.156,1.225
2021-04-29 15:36:49.290,9.864,-4.271,1.34
2021-04-29 15:36:49.301,10.458,-4.29,1.436
2021-04-29 15:36:49.311,11.128,-4.156,1.551
2021-04-29 15:36:49.321,11.492,-3.945,1.781
2021-04-29 15:36:49.331,11.607,-3.715,1.915
2021-04-29 15:36:49.342,11.473,-3.428,2.106
2021-04-29 15:36:49.350,11.147,-3.179,2.26
2021-04-29 15:36:49.361,10.841,-2.93,2.394
2021-04-29 15:36:49.370,10.515,-2.739,2.47
2021-04-29 15:36:49.381,10.113,-2.7,2.604
2021-04-29 15:36:49.391,9.73,-2.7,2.777
2021-04-29 15:36:49.400,9.481,-2.643,3.007
2021-04-29 15:36:49.410,9.366,-2.604,3.294
2021-04-29 15:36:49.421,9.462,-2.47,3.505
2021-04-29 15:36:49.432,9.519,-2.317,3.562
2021-04-29 15:36:49.442,9.328,-2.375,3.466
2021-04-29 15:36:49.451,9.002,-2.451,3.217
2021-04-29 15:36:49.460,8.945,-2.049,3.505
2021-04-29 15:36:49.470,9.289,-0.957,4.233
2021-04-29 15:36:49.480,9.232,-0.344,4.865
2021-04-29 15:36:49.490,9.04,-1.015,5.095
2021-04-29 15:36:49.500,9.27,-1.455,5.018
2021-04-29 15:36:49.510,9.519,-1.13,5.344
2021-04-29 15:36:49.520,9.462,-0.842,5.765
2021-04-29 15:36:49.530,9.5,-1.034,5.803
2021-04-29 15:36:49.542,9.711,-1.551,5.286
2021-04-29 15:36:49.551,9.768,-2.145,4.731
2021-04-29 15:36:49.560,9.519,-2.643,4.328
2021-04-29 15:36:49.570,9.423,-3.045,4.06
2021-04-29 15:36:49.580,9.807,-3.237,3.754
2021-04-29 15:36:49.590,10.247,-3.064,3.447
2021-04-29 15:36:49.601,10.228,-2.873,3.275
2021-04-29 15:36:49.610,9.96,-2.777,3.102
2021-04-29 15:36:49.621,9.864,-2.777,2.911
2021-04-29 15:36:49.628,9.998,-2.662,2.758
2021-04-29 15:36:49.638,10.132,-2.394,2.739
2021-04-29 15:36:49.649,10.209,-2.202,2.815
2021-04-29 15:36:49.659,10.305,-2.126,2.892
2021-04-29 15:36:49.670,10.477,-2.202,2.949
2021-04-29 15:36:49.680,10.611,-2.375,2.911
2021-04-29 15:36:49.691,10.63,-2.49,2.796
2021-04-29 15:36:49.700,10.496,-2.566,2.662
2021-04-29 15:36:49.711,10.247,-2.604,2.528
2021-04-29 15:36:49.720,9.941,-2.604,2.355
2021-04-29 15:36:49.730,9.711,-2.681,2.164
2021-04-29 15:36:49.741,9.596,-2.796,1.953
2021-04-29 15:36:49.750,9.538,-2.873,1.857
2021-04-29 15:36:49.760,9.462,-2.873,1.8
2021-04-29 15:36:49.770,9.423,-2.892,1.743
2021-04-29 15:36:49.780,9.443,-2.93,1.685
2021-04-29 15:36:49.790,9.519,-2.968,1.608
2021-04-29 15:36:49.801,9.577,-3.083,1.551
2021-04-29 15:36:49.811,9.634,-3.198,1.551
2021-04-29 15:36:49.821,9.711,-3.294,1.532
2021-04-29 15:36:49.831,9.692,-3.294,1.513
2021-04-29 15:36:49.841,9.577,-3.275,1.532
2021-04-29 15:36:49.851,9.385,-3.217,1.551
2021-04-29 15:36:49.861,9.194,-3.122,1.513
2021-04-29 15:36:49.870,9.021,-3.045,1.494
2021-04-29 15:36:49.880,8.964,-2.988,1.455
2021-04-29 15:36:49.892,8.925,-2.988,1.436
2021-04-29 15:36:49.901,8.925,-3.007,1.436
2021-04-29 15:36:49.910,8.964,-2.988,1.532
2021-04-29 15:36:49.920,9.04,-3.007,1.608
2021-04-29 15:36:49.930,9.155,-3.007,1.666
2021-04-29 15:36:49.940,9.289,-3.007,1.704
2021-04-29 15:36:49.950,9.385,-3.045,1.743
2021-04-29 15:36:49.961,9.481,-3.122,1.8
2021-04-29 15:36:49.971,9.557,-3.16,1.877
2021-04-29 15:36:49.981,9.596,-3.141,1.915
2021-04-29 15:36:49.990,9.615,-3.064,1.972
2021-04-29 15:36:50.000,9.615,-3.026,2.049
2021-04-29 15:36:50.012,9.634,-3.064,2.068
2021-04-29 15:36:50.021,9.634,-3.083,2.087
2021-04-29 15:36:50.030,9.634,-3.102,2.087
